id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
4823,Southwestern Nisu,,,,sout3128,book1242,book1242,language,23.058,101.412,CN,nsv,,I,L,,,
4824,Navut,,,,navu1237,aust1307,tial1241,language,-15.3169,166.798,VU,nsw,,I,L,,,
4825,Nsongo,Songo,,,nson1238,atla1278,mbun1247,language,-10.5166,16.7348,AO,nsx,,I,L,,,
4826,Nasal,,,,nasa1239,aust1307,mala1545,language,-4.8652,103.5719,ID,nsy,,I,L,,,
4827,Nisenan,,,2,nise1244,maid1262,maid1262,language,38.047,-120.393,US,nsz,,I,L,,,
4828,Northern Tidong,,"Sesayap Tidong, Northern Tidung, Sesayap Tidung",,nort3262,aust1307,tidu1239,language,5.8606,117.5455,MY,ntd,,I,L,,,
4829,Nathembo,,Sakati,,nath1238,atla1278,maku1247,language,-16.0973,39.9062,MZ,nte,,I,L,,,
4830,Ngantangarra,,,,,,,,,,,ntg,,I,E,,,
4831,Natioro,,,,nati1243,atla1278,samu1243,language,10.7176,-5.19517,BF,nti,,I,L,,,
4832,Ngaanyatjarra,,,5,ngaa1240,pama1250,tjar1234,language,-25.7514,127.602,AU,ntj,,I,L,,,
4833,Ikoma,,,,ikom1245,atla1278,ikom1247,language,-1.94989,34.5361,TZ,ntk,,I,L,,,
4834,Nateni,,,,nate1242,atla1278,taya1258,language,10.5191,1.21879,BJ,ntm,,I,L,,,
4835,Ntomba,,,,ntom1248,atla1278,boli1263,language,-1.99062,18.265,CD,nto,,I,L,,,
4836,Northern Tepehuan,,,56,nort2959,utoa1244,tepe1281,language,26.4348,-107.379,MX,ntp,,I,L,,,
4837,Delo,,,,delo1240,atla1278,delo1241,language,7.90997,0.59728,GH TG,ntr,,I,L,,,
4838,Natügu,Natügu,,,natu1246,aust1307,natu1250,language,-10.6771,165.835,SB,ntu,,I,L,,,
4839,Nottoway,,,3,nott1246,iroq1247,tusc1256,language,36.72,-77.115,US,ntw,,I,E,,,
4840,Somra,,"Tangkhul Naga, Burmese Tangkhul, Somra Tangkhul",,,,,,,,,ntx,,I,L,,,
4841,Mantsi,,,,mant1265,sino1245,munj1248,language,23.1829,105.405,VN,nty,,I,L,,,
4842,Natanzic,,,,nata1252,indo1319,kash1282,language,33.4593,51.9538,IR,ntz,,I,L,,,
4843,Yuaga,Yuanga,,1,yuag1237,aust1307,kumn1237,language,-20.5664,164.51,NC,nua,,I,L,,,
4844,Nukuini,,,,nuku1263,pano1259,poya1240,language,-7.339,-73.5044,BR,nuc,,I,E,,,
4845,Ngala,,,,ngal1300,nduu1242,nduu1242,language,-4.26628,142.5,PG,nud,,I,L,,,
4846,Ngundu,,,,ngun1266,atla1278,mids1242,language,4.88628,20.4218,CD,nue,,I,L,,,
4847,Nusu,,,1,nusu1239,sino1245,nuso1234,language,26.7292,98.8801,CN,nuf,,I,L,13000,,
4848,Nungali,,,,nung1291,mirn1241,djam1254,language,-14.9109,131.641,AU,nug,,I,E,,,
4849,Ndunda,,,,ndun1251,atla1278,mvan1239,language,6.73205,11.11047,NG,nuh,,I,L,,,
4850,Ngumbi,,Kombe,,ngum1255,atla1278,yasa1241,language,1.72096,9.73613,GQ,nui,,I,L,,,
4851,Nyole (Uganda),,"Nyole, LoNyole, Lunyole, Nyuli",,nyol1238,atla1278,unun9919,language,0.88072,33.9181,UG,nuj,,I,L,,,
4852,Nootka,,"Nuu-chah-nulth, Nuuchahnulth, T'aat'aaqsapa",11,nuuc1236,waka1280,sout2981,language,49.67,-126.67,CA,nuk,,I,L,,,
4853,Nusa Laut,,,,nusa1245,aust1307,elpa1239,language,-3.67727,128.776,ID,nul,,I,E,,,
4854,Niuafo'ou,,,2,niua1240,aust1307,east2758,language,-15.6014,-175.64,TO,num,,I,L,,,
4855,Anong,,Nung,2,nung1282,sino1245,guno1235,language,27.2887,98.7333,CN MM,nun,,I,L,450,,
4856,Nguôn,,,,nguo1239,aust1305,muon1245,language,17.7243,105.932,VN,nuo,,I,L,,,
4857,Nupe,,Nupe-Nupe-Tako,4,nupe1254,atla1278,nupo1239,language,9.18404,5.40031,NG,nup,,I,L,,,
4858,Nukumanu,Nukumanu,,,nuku1258,aust1307,taku1258,language,-4.576321,159.48537,PG,nuq,,I,L,,,
4859,Nuguria,,Nukuria,3,nuku1259,aust1307,taku1258,language,-3.40038,154.731,PG,nur,,I,L,,,
4860,Nuer,Thok Nath,,12,nuer1246,nilo1247,nuer1245,language,8.13911,32.3829,ET SS,nus,,I,L,804900,,
4861,Nung,,,1,nung1283,taik1256,deba1238,language,20.8965,104.286,CN LA VN,nut,,I,L,,,
4862,Ngbundu,,,,ngbu1241,atla1278,nucl1797,language,3.82245,18.7183,CD CF,nuu,,I,L,,,
4863,Northern Nuni,,,,nort2784,atla1278,nuni1253,language,12.131,-2.98206,BF,nuv,,I,L,,,
4864,Nguluwan,,,,ngul1236,aust1307,yape1250,language,8.45,137.34,FM,nuw,,I,L,,,
4865,Mehek,,,2,mehe1243,sepi1257,mehe1244,language,-3.70927,142.498,PG,nux,,I,L,,,
4866,Nunggubuyu,,Wubuy,1,nung1290,gunw1250,wubu1239,language,-14.2623,135.753,AU,nuy,,I,L,,,
4867,Tlamacazapa Nahuatl,,,14,tlam1239,utoa1244,nort3202,language,18.6239,-99.3992,MX,nuz,,I,L,,,
4868,Nasarian,,,,nasa1240,aust1307,sout3240,language,-16.3497,167.414,VU,nvh,,I,L,,,
4869,Namiae,,,,nami1258,koia1260,bara1377,language,-9.18089,148.166,PG,nvm,,I,L,,,
4870,Nyokon,,,,nyok1243,atla1278,mand1474,language,4.75,10.5,CM,nvo,,I,L,,,
4871,Nawathinehena,,,,nawa1259,algi1248,arap1273,language,41.316,-104.45,US,nwa,,I,E,,,
4872,Nyabwa,,,,nyab1255,krua1234,weea1234,language,6.87615,-6.84428,CI,nwb,,I,L,,,
4873,Classical Newar,,Classical Newari,1,,,,,,,,nwc,,I,H,,nwc,"Amritananda Mahasthavir, a Buddhist author in India"
4874,Ngwe,,,,ngwe1238,atla1278,bamb1272,language,5.49787,9.9028,CM,nwe,,I,L,,,
4875,Ngayawung,,,,,,,,,,,nwg,,I,E,,,
4876,Southwest Tanna,,,,sout2869,aust1307,sout3195,language,-19.57953,169.35603,VU,nwi,,I,L,,,
4877,Nyamusa-Molo,,,,nyam1279,cent2225,lori1239,language,5.89708,30.3658,SS,nwm,,I,L,,,
4878,Nauo,,Nawo,,nauo1235,pama1250,unun9967,language,-33.79661078,135.828014,AU,nwo,,I,E,,,
4879,Nawaru,,Sirio,3,nawa1258,yare1250,yare1251,language,-9.37935,148.237,PG,nwr,,I,L,,,
4880,Middle Newar,,Middle Newari,,,,,,,,,nwx,,I,H,,,
4881,Nottoway-Meherrin,,,,,,,,,,,nwy,,I,E,,,
4882,Nauete,Nauete,,1,naue1237,aust1307,kawa1289,language,-8.70733,126.741,TL,nxa,,I,L,,,
4883,Ngando (Congo),,"Ngando (Democratic Republic of the Congo), Longandu",,ngan1302,atla1278,lomo1242,language,-0.14363,22.6231,CD,nxd,,I,L,,,
4884,Nage,,,1,nage1237,aust1307,nage1238,language,-8.70513,121.31,ID,nxe,,I,L,,,
4885,Ngadha,,Ngad'a,2,ngad1261,aust1307,ngad1267,language,-8.79508,120.976,ID,nxg,,I,L,,,
4886,Nindi,,,,nind1242,atla1278,unun9917,language,-11.2569,36.3116,TZ,nxi,,I,L,,,
4887,Koki Naga,,,,,,,,,,,nxk,,I,L,,,
4888,South Nuaulu,,,,sout2895,aust1307,nuau1240,language,-3.23411,129.148,ID,nxl,,I,L,,,
4889,Numidian,,,,numi1241,uncl1493,uncl1493,language,,,LY,nxm,,I,A,,,
4890,Ngawun,,,2,ngaw1240,pama1250,nucl1332,language,-19.4484,141.471,AU,nxn,,I,E,,,
4891,Ndambomo,,,,ndam1254,atla1278,sake1249,language,-0.82,12.77,GA,nxo,,I,L,,,
4892,Naxi,,,6,naxi1245,sino1245,nais1236,language,27.5,100.0,CN,nxq,,I,L,350000,,
4893,Ninggerum,,,,ning1274,nucl1709,lowl1259,language,-5.43194,141.158,ID PG,nxr,,I,L,,,
4894,Narau,,,,nara1265,book1242,book1242,language,-3.43594,139.876,ID,nxu,,I,E,,,
4895,Nafri,,,,nafr1241,sent1261,sent1262,language,-2.65036,140.727,ID,nxx,,I,L,,,
4896,Chichewa,Cinyanja,,955,nyan1308,atla1278,nyan1319,language,-14.8047,32.8108,MW MZ SZ TZ ZM ZW,nya,ny,I,L,12000000,ny,"William Percival Johnson (1854 – 1928), an Anglican missionary to Nyasaland"
4897,Nyangbo,,,1,nyan1302,atla1278,nyan1316,language,6.82649,0.37152,GH,nyb,,I,L,,,
4898,Nyanga-li,,,,nyan1303,atla1278,extr1247,language,2.97634,29.1805,CD,nyc,,I,L,,,
4899,Nyole (Kenya),Olunyole,"Nyole, Nyore, Olunyole, Lunyole, Lunyore, Nyoole, Olunyore",,nyor1244,atla1278,cent2288,language,0.07523,34.6166,KE,nyd,,I,L,,,
