id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc,code,direction,apostrophe,han,continua,scripts,omniglot,agglutinative,indo,locales,hostCountryLocales
1012,Bulgarian,български,,43450,bulg1262,indo1319,mace1252,language,43.3646,25.047,BG GR MD MK RO RS TR UA,bul,bg,I,L,8000000,bg,"Elin Pelin (1877 – 1949), arguably considered Bulgaria’s best narrator of country life",bg,,FALSE,FALSE,FALSE,"[{""lang"":""bg"",""script"":""Cyrl"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",bulgarian.htm,FALSE,FALSE,"bg,mk",
1115,Basay,Binisaya,,4,basa1287,aust1307,nort2900,language,25.0046,121.857,TW,byq,,I,E,,,,byq,ltr,FALSE,FALSE,FALSE,[],,TRUE,FALSE,,"zh,zh-CN,zh-Hans,zh-Hant,zh-HK,zh-SG,zh-TW"
1167,Catalan,català,,137507,stan1289,indo1319,sout3183,language,41.453,1.569,AD ES FR IT,cat,ca,I,L,4100000,ca,"Àngel Guimerà (1845 – 1924), a Spanish Nobel-nominated writer in the Catalan language",ca,,FALSE,FALSE,FALSE,"[{""lang"":""ca"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",catalan.htm,FALSE,FALSE,ca,
1218,Cebuano,Cebuano,,16049,cebu1242,aust1307,bisa1268,language,8.38799,124.367,PH,ceb,,I,L,15230000,ceb,"Vicente Sotto (1877 – 1950), a Filipino politician who served as a Senator, the main author of the Press Freedom Law",ceb,,TRUE,FALSE,FALSE,"[{""lang"":""ceb"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",cebuano.htm,TRUE,FALSE,"fil,fil-PH",
1222,Czech,čeština,,42779,czec1258,indo1319,czec1261,language,49.873398,15.10437,AT CZ PL SK,ces,cs,I,L,14000000,cs,"Jan Neruda (1834 – 1891), a Czech journalist, writer, poet and art critic",cs,,FALSE,FALSE,FALSE,"[{""lang"":""cs"",""script"":""Latn"",""ms"":"""",""ml"":"""",""p"":"""",""direction"":""""}]",czech.htm,FALSE,FALSE,cs,
1281,Jin,晋语 ,"Jinyu,Jinhua,Jinese,Shanxinese,Jin Chinese,Jinyu Chinese",,jiny1235,sino1245,nort3155,language,38.8284,111.278,CN,cjy,,I,L,63050000,cjy,"Hua Guofeng (1921 – 2008), Chairman of the Communist Party of China",cjy,ltr,FALSE,TRUE,TRUE,[],,FALSE,FALSE,"zh,zh-CN,zh-Hans,zh-Hant,zh-SG,zh-TW,zh-HK",
1282,Central Kurdish,کوردی سۆرانی,,387,cent1972,indo1319,kurd1259,language,35.6539,45.8077,IQ IR,ckb,,I,L,20000000,ckb,"Ibrahim Ahmad (1914 – 2000), a Kurdish writer, novelist, judge and translator",ckb,rtl,FALSE,FALSE,FALSE,"[{""lang"":""ckb"",""script"":""Arab"",""ms"":"""",""ml"":"""",""p"":""N"",""direction"":""rtl""}]",,FALSE,FALSE,ku,
1317,Mandarin,官话,"Mandarin Chinese,Putonghua,Guoyu,Huayu,Guanhua,Beifanghua,Standard Chinese",53932,mand1415,sino1245,mand1471,language,40.0209,116.228,CN KP LA MM MN RU TW VN,cmn,,I,L,920000000,cmn,"Ba Jin (1904–2005), a Chinese writer and author who also wrote three original works in Esperanto",cmn,ltr,FALSE,TRUE,TRUE,[],../chinese/mandarin.htm,FALSE,FALSE,"zh,zh-CN,zh-Hans,zh-Hant,zh-TW,zh-SG,zh-HK",
1331,Montenegrin,crnogorski,,,mont1282,indo1319,east2821,dialect,,,ME,cnr,,I,L,,cnr,"Vuk Vrčević (1811–1882), a Montenegrin Serb collector of lyric poetry",cnr,ltr,FALSE,FALSE,FALSE,[],montenegrin.htm,FALSE,FALSE,,"sr,sr-Cyrl,sr-Latn"
1351,Coptic,ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ ,,1625,copt1239,afro1255,egyp1245,language,29.472,31.2053,EG,cop,,I,E,,cop,"Amelia Edwards (1831 – 1892), an English novelist, journalist, traveller and Egyptologist",cop,rtl,FALSE,FALSE,FALSE,"[{""lang"":""cop"",""script"":""Arab"",""ms"":"""",""ml"":""O"",""p"":""N"",""direction"":""rtl""},{""lang"":""cop"",""script"":""Grek"",""ms"":"""",""ml"":""O"",""p"":"""",""direction"":""""}]",coptic.htm,FALSE,FALSE,,"ar,ar-SA"
