traditional,pronunciation,pronunciations,audio,definitions,pos
□,gia²⁴,四⃞gia²⁴ 海⃞gia⁵³ 平⃞gia²⁴ 安⃞gia⁵⁵,03773,為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,
□,ham⁵⁵,四⃞ham⁵⁵ 海⃞ham³³ 大⃞ham⁵³ 平⃞ham⁵⁵,04945,為「下二」（四⃣ha⁵⁵ngi⁵⁵、海⃣ha³³ngi³³）一詞合音而產生。,
□儕,gia²⁴sa¹¹,四⃞gia²⁴sa¹¹ 海⃞gia⁵³sa⁵⁵ 平⃞gia²⁴sa⁵⁵ 安⃞gia⁵⁵sa⁵³,03777,好幾個人。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□十年,gia²⁴siib⁵ngien¹¹,四⃞gia²⁴siib⁵ngien¹¹ 海⃞gia⁵³shib²ngien⁵⁵ 平⃞gia²⁴shib⁵ngien⁵⁵ 安⃞gia⁵⁵shib⁴³neen⁵³,03780,好幾十年。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□千萬,gia²⁴qien²⁴van⁵⁵,四⃞gia²⁴qien²⁴van⁵⁵ 海⃞gia⁵³cien⁵³van³³ 平⃞gia²⁴cien¹¹van²⁴ 安⃞gia⁵⁵cien¹¹bban⁵⁵,03779,好幾千萬。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□年,gia²⁴ngien¹¹,四⃞gia²⁴ngien¹¹ 海⃞gia⁵³ngien⁵⁵ 平⃞gia²⁴ngien⁵⁵ 安⃞gia⁵⁵neen⁵³,03776,好幾年。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□擺,gia²⁴bai³¹,四⃞gia²⁴bai³¹ 海⃞gia⁵³bai²⁴ 平⃞gia²⁴bai⁵³ 安⃞gia⁵⁵bai³¹,03774,指次數有許多次。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□擺,ham⁵⁵bai³¹,四⃞ham⁵⁵bai³¹ 海⃞ham³³bai²⁴ 大⃞ham⁵³bai³¹ 平⃞ham⁵⁵bai⁵³,04946,下一次。□，為「下二」（四⃣ha⁵⁵ngi⁵⁵、海⃣ha³³ngi³³）一詞合音而產生。,副
□日,gia²⁴ngid²,四⃞gia²⁴ngid² 海⃞gia⁵³ngid⁵ 平⃞gia²⁴ngid² 安⃞gia⁵⁵ngid²⁴,03775,好幾天。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
□條,gia²⁴tiau¹¹,四⃞gia²⁴tiau¹¹ 海⃞gia⁵³tiau⁵⁵ 平⃞gia²⁴tiau⁵⁵ 安⃞gia⁵⁵teeu⁵³,03778,好幾條。□，為「幾下」（四⃣gi³¹ha⁵⁵、海⃣gi²⁴ha³³）一詞合音而產生。,副
⿺皮卜,pug⁵,四⃞pug⁵ 海⃞pug² 大⃞pug⁵⁴ 平⃞pug⁵ 安⃞pog⁴³ 南⃞pug⁵,15287,皮膚上的小疙瘩。,
㐁,le¹¹,四⃞le¹¹ 海⃞le⁵⁵ 大⃞le¹¹³ 平⃞le⁵⁵ 安⃞leeb²⁴ 南⃞le¹¹,07420,伸出舌頭。,
㐁,te³¹,四⃞te³¹ 海⃞te²⁴ 大⃞te³¹ 平⃞te⁵³ 安⃞leeb²⁴ 南⃞te³¹,12621,吐舌、伸出舌頭。,
㐁舌,le¹¹sad⁵,四⃞le¹¹sad⁵ 海⃞le⁵⁵shad² 大⃞le¹¹³shed⁵⁴ 平⃞le⁵⁵shad⁵ 安⃞leeb²⁴shed⁴³ 南⃞le¹¹sad⁵,07421,將舌頭伸出來。,動
㑁,dud²,四⃞dud² 海⃞dud⁵ 大⃞dud²¹ 平⃞dud² 安⃞dud⁴³ 南⃞dud²,02519,形容矮小、短小的樣子。,
㓾,cii¹¹,四⃞cii¹¹ 海⃞chi⁵⁵ 大⃞chi¹¹³ 平⃞chi⁵⁵ 安⃞chi⁵³ 南⃞cii¹¹,01118,殺害。|宰殺牲畜禽類。|用於切開柚子、鳳梨等水果。,||
㓾人,cii¹¹ngin¹¹,四⃞cii¹¹ngin¹¹ 海⃞chi⁵⁵ngin⁵⁵ 大⃞chi¹¹³ngin¹¹³ 平⃞chi⁵⁵ngin⁵⁵ 安⃞chi⁵³ngin⁵³ 南⃞cii¹¹ngin¹¹,01119,殺害人。,動
㓾人放火,cii¹¹ngin¹¹biong⁵⁵fo³¹,四⃞cii¹¹ngin¹¹biong⁵⁵fo³¹ 海⃞chi⁵⁵ngin⁵⁵biong¹¹fo²⁴ 大⃞chi¹¹³ngin¹¹³biong⁵³fo³¹ 平⃞chi⁵⁵ngin⁵⁵biong⁵³fo⁵³ 安⃞chi⁵³ngin⁵³biong³¹foo³¹ 南⃞cii¹¹ngin¹¹biong⁵⁵fo³¹,01124,既殺人又縱火，形容凶狠殘暴、無法無天的惡行。,形
㓾豬个,cii¹¹zu²⁴ge⁵⁵,四⃞cii¹¹zu²⁴ge⁵⁵ 海⃞chi⁵⁵zhu⁵³gai¹¹ 大⃞chi¹¹³zhu³³gai³³ 平⃞chi⁵⁵zhu¹¹gai⁵³ 安⃞chi⁵³zhi¹¹e⁵⁵,01122,殺豬的，即屠夫。,名
㓾雞捋鴨,cii¹¹gie²⁴lod⁵ab²,四⃞cii¹¹gie²⁴lod⁵ab² 海⃞chi⁵⁵gai⁵³lod²ab⁵ 大⃞chi¹¹³gie³³lod⁵⁴ab²¹ 平⃞chi⁵⁵gie¹¹lod⁵ab² 南⃞cii¹¹gie²⁴lod⁵ab²,01123,殺雞殺鴨。,諺
㓾雞鴨,cii¹¹gie²⁴ab²,四⃞cii¹¹gie²⁴ab² 海⃞chi⁵⁵gai⁵³ab⁵ 大⃞chi¹¹³gie³³ab²¹ 平⃞chi⁵⁵gie¹¹ab² 安⃞chi⁵³ge¹¹ab²⁴ 南⃞cii¹¹gie²⁴ab²,01121,殺雞殺鴨。,動
㓾頭,cii¹¹teu¹¹,四⃞cii¹¹teu¹¹ 海⃞chi⁵⁵teu⁵⁵ 大⃞chi¹¹³teu¹¹³ 平⃞chi⁵⁵teu⁵⁵ 安⃞chi⁵³teu⁵³ 南⃞cii¹¹teu¹¹,01120,殺頭、砍頭。,動
㕸,leb⁵,四⃞leb⁵ 海⃞leb² 大⃞leb⁵⁴ 平⃞leb⁵ 南⃞leb⁵,07426,因水分多而溼漉漉的樣子。,
㕸㕸涉涉,leb⁵leb⁵zeb⁵zeb⁵,四⃞leb⁵leb⁵zeb⁵zeb⁵ 海⃞leb²leb²zheb²zheb² 大⃞leb⁵⁴leb⁵⁴zheb⁵⁴zheb⁵⁴ 平⃞leb⁵leb⁵zeb⁵zeb⁵ 南⃞leb⁵leb⁵zeb⁵zeb⁵,07427,因水分多而溼漉漉的樣子。,形
㖸,nag²,四⃞nag² 海⃞nag⁵ 大⃞nag²¹ 平⃞nag² 南⃞nag²,15259,笑。,
㗘,bog⁵,四⃞bog⁵ 海⃞bog² 大⃞bog⁵⁴ 平⃞bog⁵ 安⃞bo⁴³ 南⃞bag⁵,15354,吸煙的動作。,
㗱,jib⁵,四⃞jib⁵ 海⃞zib² 大⃞zib⁵⁴ 平⃞zib⁵ 安⃞zud²⁴ 南⃞jib⁵,15390,吸。,
㘔,sai²⁴,四⃞sai²⁴ 海⃞sai⁵³ 大⃞sai³³ 平⃞sai¹¹ 南⃞sai²⁴,11026,（粗俗語）吃。|罵人用語。,|
㘝,liab²,四⃞liab² 海⃞ngiab⁵ 大⃞ngiab²¹ 平⃞ngiab² 安⃞ngiab²⁴ 南⃞liab²,07527,用於形容動物夾著尾巴的樣子。,
㘝,ngiab²,四⃞ngiab² 海⃞ngiab⁵ 大⃞ngiab²¹ 平⃞ngiab² 安⃞ngiab²⁴ 南⃞ngiab²,15420,以手取物。,
㜮,lam²⁴,四⃞lam²⁴ 海⃞lam²⁴ 大⃞nam³³ 平⃞lam⁵³ 安⃞nam³¹ 南⃞lam²⁴,07354,很差、不好。,
㜮合惡，賁皮合硬殼,lam²⁴gag²og²，pun²⁴pi¹¹gag²ngang⁵⁵hog²,四⃞lam²⁴gag²og²，pun²⁴pi¹¹gag²ngang⁵⁵hog² 海⃞lam²⁴gag⁵og⁵，pun⁵³pi⁵⁵gag⁵ngang³³hog⁵ 大⃞nam³³gag²¹og²¹，pun³³pi¹¹³gag²¹ngang⁵³kog²¹ 平⃞lam⁵³gag²og²，pun¹¹pi⁵⁵gag²ngang²⁴kog² 南⃞lam²⁴gag²og²，pun²⁴pi¹¹gag²ngang⁵⁵hog²,07358,差勁又凶惡，臉皮厚又倔強。,諺
㜮戲拖棚,lam²⁴hi⁵⁵to²⁴pang¹¹,四⃞lam²⁴hi⁵⁵to²⁴pang¹¹ 海⃞lam²⁴hi¹¹to⁵³pang⁵⁵ 大⃞nam³³hi⁵³to³³pang¹¹³ 平⃞lam⁵³hi⁵³to¹¹pang⁵⁵ 安⃞nam³¹hi³¹too¹¹pang⁵³ 南⃞lam²⁴hi⁵⁵to²⁴pang¹¹,07357,（貶）做得不好，時間又拖得很長。,諺
㜮斗,lam²⁴deu³¹,四⃞lam²⁴deu³¹ 海⃞lam²⁴deu²⁴ 大⃞nam³³deu³¹ 平⃞lam⁵³deu⁵³ 南⃞lam²⁴deu³¹,07355,（貶）不好、差勁。,形
㜮狗屎,lam²⁴gieu³¹sii³¹,四⃞lam²⁴gieu³¹sii³¹ 海⃞lam²⁴gieu²⁴shi²⁴ 大⃞nam³³gieu³¹shi³¹ 平⃞lam⁵³gieu⁵³shi⁵³ 安⃞nam³¹geu³¹shi³¹ 南⃞lam²⁴gieu³¹sii³¹,07356,（貶）形容人很愚笨、差勁。,形
㝗,long⁵⁵,四⃞long⁵⁵ 海⃞long¹¹ 大⃞long⁵³ 平⃞long⁵³ 安⃞long³¹ 南⃞long⁵⁵,15462,空虛。,
㝗㝗㝩㝩,long⁵⁵long⁵⁵kong⁵⁵kong⁵⁵,四⃞long⁵⁵long⁵⁵kong⁵⁵kong⁵⁵ 海⃞long¹¹long¹¹kong¹¹kong¹¹ 大⃞long⁵³long⁵³kong⁵³kong⁵³ 平⃞long⁵³long⁵³kong⁵³kong⁵³ 安⃞long³¹long³¹kong³¹kong³¹ 南⃞long⁵⁵long⁵⁵kong⁵⁵kong⁵⁵,15461,空洞、過於寬鬆。,形
㝗㝩,long²⁴kong²⁴,四⃞long²⁴kong²⁴ 海⃞long¹¹kong¹¹ 大⃞long⁵³kong⁵³ 平⃞long²⁴kong¹¹ 安⃞long⁵⁵kong¹¹ 南⃞long²⁴kong²⁴,15469,過於寬鬆。,形
㧒忒,fid²ted²,四⃞fid²ted² 海⃞fid⁵ted⁵ 平⃞fid²ted²,02948,丟棄、扔掉。,動
㧡,kai²⁴,四⃞kai²⁴ 海⃞kai⁵³ 大⃞kai³³ 平⃞kai¹¹ 安⃞kainn¹¹ 南⃞kai²⁴,06661,挑。,
㧡得贏,kai²⁴ded²iang¹¹,四⃞kai²⁴ded²iang¹¹ 海⃞kai⁵³ded⁵rhang⁵⁵ 大⃞kai³³ded²¹rhang¹¹³ 平⃞kai¹¹ded²rhiang⁵⁵ 南⃞kai²⁴ded²iang¹¹,06666,挑得動。,副
㧡擔,kai²⁴dam⁵⁵,四⃞kai²⁴dam⁵⁵ 海⃞kai⁵³dam¹¹ 大⃞kai³³dam³³ 平⃞kai¹¹dam¹¹ 安⃞kainn¹¹dam¹¹ 南⃞kai²⁴dam²⁴,06662,挑擔子。,動
㧡東西,kai²⁴dung²⁴xi²⁴,四⃞kai²⁴dung²⁴xi²⁴ 海⃞kai⁵³dung⁵³si⁵³ 大⃞kai³³dung³³si³³ 平⃞kai¹¹dung¹¹si¹¹ 南⃞kai²⁴dung²⁴xi²⁴,06668,挑東西。,動
㧡水,kai²⁴sui³¹,四⃞kai²⁴sui³¹ 海⃞kai⁵³shui²⁴ 大⃞kai³³shui³¹ 平⃞kai¹¹fi⁵³ 南⃞kai²⁴sui³¹,06665,挑水的意思。,動
㧡石頭,kai²⁴sag⁵teu¹¹,四⃞kai²⁴sag⁵teu¹¹ 海⃞kai⁵³shag²teu⁵⁵ 大⃞kai³³shag⁵⁴teu¹¹³ 平⃞kai¹¹shag⁵teu⁵⁵ 南⃞kai²⁴sag⁵teu¹¹,06671,挑石頭。,動
㧡秧仔,kai²⁴iong²⁴e³¹,四⃞kai²⁴iong²⁴e³¹ 海⃞kai⁵³rhong⁵³er⁵⁵ 平⃞kai¹¹rhiong¹¹er⁵³ 南⃞kai²⁴iong²⁴e³¹,06670,挑秧苗。,動
㧡穀擔,kai²⁴gug²dam⁵⁵,四⃞kai²⁴gug²dam⁵⁵ 海⃞kai⁵³gug⁵dam¹¹ 大⃞kai³³gug²¹dam³³ 平⃞kai¹¹gug²dam¹¹ 南⃞kai²⁴gug²dam²⁴,06669,挑著稻榖。,動
㧡等,kai²⁴den³¹,四⃞kai²⁴den³¹ 海⃞kai⁵³den²⁴ 平⃞kai¹¹den⁵³ 南⃞kai²⁴den³¹,06663,挑著。,動
㧡米,kai²⁴mi³¹,四⃞kai²⁴mi³¹ 海⃞kai⁵³mi²⁴ 大⃞kai³³mi³¹ 平⃞kai¹¹mi⁵³ 南⃞kai²⁴mi³¹,06664,指買米的意思。|挑米。,動|動
㧡經過橋,kai²⁴gin²⁴go⁵⁵kieu¹¹,四⃞kai²⁴gin²⁴go⁵⁵kieu¹¹ 海⃞kai⁵³gin⁵³go¹¹kiau⁵⁵ 大⃞kai³³gin³³go⁵³kiau¹¹³ 平⃞kai¹¹gin¹¹go⁵³kiau⁵⁵ 南⃞kai²⁴gin²⁴go⁵⁵kieu¹¹,06672,喪事法事之一。共有彩結皇壇、請師登座、成服閔弔……等四十種。「㧡經過橋」，即利用佛法引渡亡魂修成正果並勸人為善之意。,
㧡點心,kai²⁴diam³¹xim²⁴,四⃞kai²⁴diam³¹xim²⁴ 海⃞kai⁵³diam²⁴sim⁵³ 大⃞kai³³diam³¹sim³³ 平⃞kai¹¹diam⁵³sim¹¹ 南⃞kai²⁴diam³¹xim²⁴,06667,挑點心給工作的人吃。,動
㧾,fud⁵,四⃞fud⁵ 海⃞fud² 大⃞fud⁵⁴ 平⃞fud⁵ 南⃞fud⁵,15203,打。,
㪐,lud²,四⃞lud² 海⃞lud⁵ 大⃞lud²¹ 平⃞lud² 安⃞lud²⁴ 南⃞lud²,08070,從主體上落下來。|擦破。,|
㪐㪐,lud²lud²,四⃞lud²lud² 海⃞lud⁵lud⁵ 大⃞lud²¹lud²¹ 平⃞lud²lud² 安⃞lud²⁴lud²⁴ 南⃞lud²lud²,08072,鬆鬆垮垮的，要掉不掉的樣子。,形
㪐忒,lud²ted²,四⃞lud²ted² 海⃞lud⁵ted⁵ 平⃞lud²ted²,08075,從附著的物體上掉下來。,動
㪐毛,lud²mo²⁴,四⃞lud²mo²⁴ 海⃞lud⁵mo⁵³ 大⃞lud²¹mo³³ 平⃞lud²mo¹¹ 安⃞lud²⁴hm¹¹ 南⃞lud²mo²⁴,08073,鳥獸因季節變換或疾病不適而脫去舊毛。,動
㪐爪,lud²zau³¹,四⃞lud²zau³¹ 海⃞lud⁵zau²⁴ 大⃞lud²¹zau³¹ 平⃞lud²zau⁵³ 安⃞lud²⁴rhiau³¹ 南⃞lud²zau³¹,08076,本指爪子脫落，後亦借指人脫離困境或陷阱。,動
㪐皮,lud²pi¹¹,四⃞lud²pi¹¹ 海⃞lud⁵pi⁵⁵ 大⃞lud²¹pi¹¹³ 平⃞lud²pi⁵⁵ 安⃞lud²⁴pi⁵³ 南⃞lud²pi¹¹,08074,皮膚脫離掉落。,動
㪐蒂,lud²di⁵⁵,四⃞lud²di⁵⁵ 海⃞lud⁵di¹¹ 大⃞lud²¹di⁵³ 平⃞lud²ni⁵³ 安⃞lud²⁴di⁵⁵ 南⃞lud²di⁵⁵,08071,水果成熟蒂頭脫落。,動
㬹,zang²⁴,四⃞zang²⁴ 海⃞zang⁵³ 大⃞zang³³ 平⃞zang¹¹ 安⃞zang¹¹ 南⃞zang²⁴,15284,腳踵，即腳跟的部位。,
㸐,nad²,四⃞nad² 海⃞nad⁵ 大⃞nad²¹ 平⃞nad² 南⃞nad²,08994,灼傷。|用少量的油煎至微焦。,|
㸐人,nad²ngin¹¹,四⃞nad²ngin¹¹ 海⃞nad⁵ngin⁵⁵ 大⃞nad²¹ngin¹¹³ 平⃞nad²ngin⁵⁵ 南⃞nad²ngin¹¹,08995,用尖酸刻薄的話去挑釁人。,動
㸰,to¹¹,四⃞to¹¹ 海⃞to⁵⁵ 大⃞to¹¹³ 平⃞to⁵⁵ 安⃞to⁵³ 南⃞to¹¹,15437,未成年的牛。,
㼓,liam⁵⁵,四⃞liam⁵⁵ 海⃞liam¹¹ 大⃞liam⁵³ 平⃞niam⁵³ 安⃞neem³¹ 南⃞liam⁵⁵,07539,量詞。計算楊桃、西瓜、柑橘等果肉剖開後的稜片單位。,
㼓,lim⁵⁵,四⃞lim⁵⁵ 海⃞niam¹¹ 大⃞lim⁵³ 平⃞niam⁵³ 南⃞lim⁵⁵,07685,量詞。計算楊桃、西瓜、柑橘等果肉剖開後的稜片單位。,
㾊,qi²⁴,四⃞qi²⁴ 海⃞ci⁵³ 大⃞ci³³ 平⃞ci¹¹ 安⃞ci¹¹ 南⃞qi²⁴,15426,皮膚病。,
㿸,man⁵⁵,四⃞man⁵⁵ 海⃞man³³ 大⃞man⁵³ 平⃞man²⁴ 安⃞man⁵⁵ 南⃞man⁵⁵,15255,皮膚上的垢。,
䀯,pu⁵⁵,四⃞pu⁵⁵ 海⃞pu³³ 大⃞pu⁵³ 平⃞pu²⁴ 安⃞pu⁵⁵ 南⃞pu⁵⁵,10466,暗中窺探、偵伺。,
䀯等,pu⁵⁵den³¹,四⃞pu⁵⁵den³¹ 海⃞pu³³den²⁴ 平⃞pu²⁴den⁵³ 南⃞pu⁵⁵den³¹,10467,在暗處偵察窺伺。,動
䀯老鼠,pu⁵⁵lo⁵⁵cu³¹,四⃞pu⁵⁵lo⁵⁵cu³¹ 海⃞pu³³lo²⁴chu²⁴ 大⃞pu⁵³lo⁵³chu³¹ 平⃞pu²⁴lo⁵³chu⁵³ 安⃞pu⁵⁵loo³¹chi³¹ 南⃞pu⁵⁵no⁵⁵cu³¹,10469,窺伺老鼠的行動以便捕捉。,動
䀯賊仔,pu⁵⁵ced⁵e³¹,四⃞pu⁵⁵ced⁵e³¹ 海⃞pu³³ced²er⁵⁵ 平⃞pu²⁴ced⁵er⁵³ 南⃞pu⁵⁵ced⁵e³¹,10468,在暗處偵伺著小偷的行動，以便捉捕。,動
䀴,海⃞ngiang²⁴ 大⃞ngiang³¹ 平⃞ngiang⁵³ 安⃞ngiang³¹,海⃞ngiang²⁴ 大⃞ngiang³¹ 平⃞ngiang⁵³ 安⃞ngiang³¹,15263,看。,
䃗,bog²,四⃞bog² 海⃞bog⁵ 大⃞bog²¹ 平⃞bog² 安⃞boo²⁴ 南⃞bog²,00640,石隄，又作「壆」。,
䃗崁,bog²kam⁵⁵,四⃞bog²kam⁵⁵ 海⃞bog⁵kam¹¹ 大⃞bog²¹kam⁵³ 平⃞bog²kam⁵³ 南⃞bog²kam⁵⁵,00641,旱地上為水土保持所築的隄防。,名
䉂,lui³¹,四⃞lui³¹ 海⃞lui²⁴ 大⃞lui³¹ 平⃞lui⁵³ 安⃞lui³¹ 南⃞lui³¹,08102,用竹或荊條等編成的一種肚大口小的有孔器具。,
䉂公,lui³¹gung²⁴,四⃞lui³¹gung²⁴ 海⃞lui²⁴gung⁵³ 大⃞lui³¹gung³³ 平⃞lui⁵³gung¹¹ 南⃞lui³¹gung²⁴,08104,一種肚大口小的竹器。舊時多用於採茶的季節，在採茶時，將之背於腰後或繫於身旁用以裝採下的茶葉。,名
䌈,tag²,四⃞tag² 海⃞tag⁵ 大⃞tag²¹ 平⃞tag² 安⃞ta²⁴ 南⃞tag²,12411,繫、綁。,
䌈等,tag²den³¹,四⃞tag²den³¹ 海⃞tag⁵den²⁴ 平⃞tag²den⁵³ 南⃞tag²den³¹,12412,綁著、繫著。,形
䌈索仔,tag²sog²e³¹,四⃞tag²sog²e³¹ 海⃞tag⁵sog⁵er⁵⁵ 平⃞tag²sog²er⁵³ 南⃞tag²sog²e³¹,12415,綁繩子。,動
䌈緪,tag²hen¹¹,四⃞tag²hen¹¹ 海⃞tag⁵hen⁵⁵ 大⃞tag²¹hen¹¹³ 平⃞tag²hen⁵⁵ 安⃞ta²⁴an⁵³ 南⃞tag²hen¹¹,12414,綁緊。,動
䌈頸,tag²giang³¹,四⃞tag²giang³¹ 海⃞tag⁵giang²⁴ 大⃞tag²¹giang³¹ 平⃞tag²giang⁵³ 安⃞ta²⁴giang³¹ 南⃞tag²giang³¹,12413,用繩子勒住脖子自殺。,動
䗆,gon²⁴,四⃞gon²⁴ 海⃞gon⁵³ 大⃞guan³³ 平⃞guan¹¹ 安⃞guan¹¹ 南⃞gon²⁴,04479,見「䗆蜱」。,
䗆蜱,gon²⁴bi²⁴,四⃞gon²⁴bi²⁴ 海⃞gon⁵³bi⁵³ 大⃞guan³³bi³³ 平⃞guan¹¹bi¹¹ 安⃞guan¹¹bi¹¹ 南⃞gon²⁴bi²⁴,04480,動物名。身體扁平，好乾燥，喜藏於板壁、草蓆的縫隙間，吸食人、畜的血，會傳染疾病。亦稱為「蜰蟲」、「臭蟲」、「床蝨」、「壁蝨」等。,
䘆,hien³¹,四⃞hien³¹ 海⃞hien²⁴ 大⃞hien³¹ 平⃞hien⁵³ 安⃞fien³¹ 南⃞hian³¹,05325,見「䘆公」。,
䘆公,hien³¹gung²⁴,四⃞hien³¹gung²⁴ 平⃞hien⁵³gung¹¹ 南⃞hian³¹gung²⁴,05326,僅四縣用，海陸為「蟲䘆」。動物名。即蚯蚓，「公」為語尾助詞，無義。,
䟓,dang²⁴,四⃞dang²⁴ 海⃞dang⁵³ 大⃞dang³³ 平⃞dang¹¹ 南⃞dang²⁴,02037,專程、特地。,
䟓䟓,dang²⁴dang²⁴,四⃞dang²⁴dang²⁴ 海⃞dang⁵³dang⁵³ 大⃞dang³³dang³³ 平⃞dang¹¹dang¹¹ 南⃞dang²⁴dang²⁴,02038,專程、特地。,形
䟓工,dang²⁴gung²⁴,四⃞dang²⁴gung²⁴ 海⃞dang⁵³gung⁵³ 大⃞dang³³gung³³ 平⃞dang¹¹gung¹¹ 南⃞dang²⁴gung²⁴,02039,專程、特地。,形
䟘,hong⁵⁵,四⃞hong⁵⁵ 海⃞hong¹¹ 大⃞hong⁵³ 南⃞hong⁵⁵,05637,起身、起來。,
䟘床,hong⁵⁵cong¹¹,四⃞hong⁵⁵cong¹¹ 海⃞hong¹¹cong⁵⁵ 大⃞hong⁵³cong¹¹³ 南⃞hong⁵⁵cong¹¹,05638,離開床鋪。通常指睡醒後下床。,動
䟘起來,hong⁵⁵hi³¹loi¹¹,四⃞hong⁵⁵hi³¹loi¹¹ 海⃞hong¹¹hi²⁴loi⁵⁵ 大⃞hong⁵³ki³¹loi¹¹³ 南⃞hong⁵⁵hi³¹loi¹¹,05639,站起來。,動
䢍,fang⁵⁵,四⃞fang⁵⁵ 海⃞fang¹¹ 大⃞fang⁵³ 平⃞fang⁵³ 安⃞fang³¹ 南⃞fang⁵⁵,15368,界限、分際。,
䯋,pad⁵,四⃞pad⁵ 海⃞pad² 大⃞pad⁵⁴ 平⃞pad⁵ 安⃞pad⁴³ 南⃞pad⁵,09965,頭與身體相連的部分。,
䯋鍊,pad⁵lien⁵⁵,四⃞pad⁵lien⁵⁵ 海⃞pad²lien³³ 大⃞pad⁵⁴lien⁵³ 平⃞pad⁵lien²⁴ 安⃞pad⁴³leen⁵⁵ 南⃞pad⁵lien⁵⁵,09966,掛在頸項間裝飾用的鍊子。,名
一,id²,四⃞id² 海⃞rhid⁵ 大⃞rhid²¹ 平⃞rhid² 安⃞rhid²⁴ 南⃞id²,05821,自然數的開始。|第一。|單個。|專注的。|全、滿。|一次、一回，表示動作的次數。|概括。|姓。,|||||||
一代姑、兩代表，三代閒了了,id²toi⁵⁵gu²⁴、liong³¹toi⁵⁵beu³¹，sam²⁴toi⁵⁵han¹¹liau³¹liau³¹,四⃞id²toi⁵⁵gu²⁴、liong³¹toi⁵⁵beu³¹，sam²⁴toi⁵⁵han¹¹liau³¹liau³¹ 海⃞rhid⁵toi³³gu⁵³、liong²⁴toi³³biau²⁴，sam⁵³toi³³han⁵⁵liau²⁴liau²⁴ 大⃞rhid²¹toi⁵³gu³³、ngi⁵³toi⁵³biau³¹，sam³³toi⁵³han¹¹³liau³¹liau³¹ 平⃞rhid²toi²⁴gu¹¹、liong⁵³toi²⁴biau⁵³，sam¹¹toi²⁴han⁵⁵liau⁵³liau⁵³ 南⃞id²toi⁵⁵gu²⁴、liong³¹toi⁵⁵beu³¹，sam²⁴toi⁵⁵han¹¹liau³¹liau³¹,05862,意指親戚關係會因年代越久遠，關係越淡薄。,諺
一個半斤，一個八兩,id²ge⁵⁵ban⁵⁵gin²⁴，id²ge⁵⁵bad²liong²⁴,四⃞id²ge⁵⁵ban⁵⁵gin²⁴，id²ge⁵⁵bad²liong²⁴ 海⃞rhid⁵gai¹¹ban¹¹gin⁵³，rhid⁵gai¹¹bad⁵liong⁵³ 大⃞rhid²¹gai⁵³ban³¹gin³³，rhid²¹gai⁵³bad²¹liong³³ 平⃞rhid²gai⁵³ban⁵³giun¹¹，rhid²gai⁵³bed²liong¹¹ 安⃞rhid²⁴gai³¹ban³¹gun¹¹，rhid²⁴gai³¹beed²⁴liong¹¹ 南⃞id²ge⁵⁵ban⁵⁵gin²⁴，id²ge⁵⁵bad²liong²⁴,05858,一斤等於十六兩，半斤就是八兩。比喻彼此旗鼓相當、不相上下。,諺
一個拉尿个換一個拉屎个,id²ge⁵⁵lai¹¹ngiau⁵⁵ge⁵⁵von⁵⁵id²ge⁵⁵lai¹¹sii³¹ge⁵⁵,四⃞id²ge⁵⁵lai¹¹ngiau⁵⁵ge⁵⁵von⁵⁵id²ge⁵⁵lai¹¹sii³¹ge⁵⁵ 海⃞rhid⁵gai¹¹lai⁵⁵ngiau³³gai¹¹von³³rhid⁵gai¹¹lai⁵⁵shi²⁴gai¹¹ 大⃞rhid²¹gai⁵³lai¹¹³ngiau⁵³gai³³van⁵³rhid²¹gai⁵³lai¹¹³shi³¹gai³³ 平⃞rhid²gai⁵³lai⁵⁵ngiau²⁴gai⁵³van²⁴rhid²gai⁵³lai⁵⁵shi⁵³gai⁵³ 南⃞id²ge⁵⁵lai¹¹ngiau⁵⁵ge⁵⁵von⁵⁵id²ge⁵⁵lai¹¹sii³¹ge⁵⁵,05859,形容越換越糟糕。,諺
一個銀,id²ge⁵⁵ngiun¹¹,四⃞id²ge⁵⁵ngiun¹¹ 海⃞rhid⁵gai¹¹ngiun⁵⁵ 大⃞rhid²¹gai⁵⁴ngiun¹¹³ 平⃞rhid²gai⁵³ngiun⁵⁵ 安⃞rhid²⁴gai³¹ngun⁵³ 南⃞id²ge⁵⁵ngiun¹¹,05832,一塊錢。,名
一半下,id²ban⁵⁵ha⁵⁵,四⃞id²ban⁵⁵ha⁵⁵ 海⃞rhid⁵ban¹¹ha³³ 大⃞rhid²¹ban⁵³ha⁵³ 平⃞rhid²ban⁵³ha²⁴ 安⃞rhid²⁴ban³¹ha⁵⁵,05828,有時候。,副
