word,frequency
umro,5.26
vojske,5.26
ćete,5.26
želi,5.26
dugo,5.25
ii,5.25
kojeg,5.25
koriste,5.25
ljubav,5.25
meni,5.25
moje,5.25
oblasti,5.25
onaj,5.25
potrebno,5.25
pravi,5.25
san,5.25
većina,5.25
dete,5.24
hrvatska,5.24
ide,5.24
izgleda,5.24
k,5.24
kući,5.24
najbolji,5.24
niti,5.24
poslije,5.24
postao,5.24
puno,5.24
rekla,5.24
bolesti,5.23
doba,5.23
drugom,5.23
ispred,5.23
lice,5.23
mnogi,5.23
n,5.23
nje,5.23
počinje,5.23
ratu,5.23
sigurno,5.23
svojih,5.23
vrsta,5.23
kuće,5.22
nova,5.22
ovi,5.22
par,5.22
uopšte,5.22
verovatno,5.22
dobar,5.21
godinu,5.21
igra,5.21
ispod,5.21
jedino,5.21
jugoslavije,5.21
mogla,5.21
njegovo,5.21
odnosu,5.21
ovih,5.21
ovoga,5.21
p,5.21
područja,5.21
postaje,5.21
sami,5.21
sva,5.21
svojoj,5.21
uvijek,5.21
velikog,5.21
vlada,5.21
vrste,5.21
zemlju,5.21
žele,5.21
deset,5.2
došao,5.2
kažu,5.2
maja,5.2
nekim,5.2
obično,5.2
ostali,5.2
snaga,5.2
srpska,5.2
svim,5.2
tih,5.2
uključujući,5.2
zapravo,5.2
bar,5.19
biste,5.19
film,5.19
h,5.19
isti,5.19
ljubavi,5.19
moja,5.19
naroda,5.19
nismo,5.19
njoj,5.19
novog,5.19
porodice,5.19
razloga,5.19
svet,5.19
takav,5.19
the,5.19
tj,5.19
bismo,5.18
dao,5.18
dobiti,5.18
jedini,5.18
krajem,5.18
misli,5.18
najviše,5.18
periodu,5.18
razvoj,5.18
ruke,5.18
sina,5.18
stanovništva,5.18
stvar,5.18
vrata,5.18
imena,5.17
jedne,5.17
klub,5.17
metara,5.17
napravio,5.17
naći,5.17
našu,5.17
njegovog,5.17
njen,5.17
počeo,5.17
r,5.17
svetu,5.17
veći,5.17
dela,5.16
kuća,5.16
mnoge,5.16
našeg,5.16
novac,5.16
ovako,5.16
poziv,5.16
početku,5.16
pošto,5.16
republici,5.16
svakog,5.16
ulogu,5.16
vlade,5.16
škola,5.16
boga,5.15
dobra,5.15
doći,5.15
iznad,5.15
male,5.15
marta,5.15
naziv,5.15
nikad,5.15
niz,5.15
nju,5.15
putu,5.15
van,5.15
vaše,5.15
budu,5.14
jeziku,5.14
kralj,5.14
krvi,5.14
najčešće,5.14
odgovor,5.14
period,5.14
pitanju,5.14
pogledajte,5.14
pola,5.14
znaju,5.14
daleko,5.13
dobili,5.13
evo,5.13
iznosi,5.13
jednostavno,5.13
moglo,5.13
nedelje,5.13
njegovu,5.13
oca,5.13
of,5.13
piše,5.13
priliku,5.13
priča,5.13
promene,5.13
sadrži,5.13
septembra,5.13
smrt,5.13
svakako,5.13
aprila,5.12
ideja,5.12
iste,5.12
knjige,5.12
list,5.12
nagrada,5.12
nagrade,5.12
okviru,5.12
poslednjih,5.12
predsjednik,5.12
prvom,5.12
sama,5.12
svako,5.12
svijetu,5.12
t,5.12
izvor,5.11
kojom,5.11
moći,5.11
nekog,5.11
obliku,5.11
ponekad,5.11
program,5.11
redu,5.11
selo,5.11
stalno,5.11
strani,5.11
svakom,5.11
traži,5.11
veliku,5.11
čime,5.11
c,5.1
državi,5.1
hiljada,5.1
hrvatski,5.1
kralja,5.1
moraju,5.1
navodi,5.1
oktobra,5.1
ponovno,5.1
sto,5.1
svetog,5.1
toj,5.1
vaš,5.1
škole,5.1
školu,5.1
broju,5.09
engleski,5.09
kažem,5.09
kulture,5.09
lepo,5.09
mjesta,5.09
new,5.09
njim,5.09
posla,5.09
sedam,5.09
selu,5.09
slučaju,5.09
sveta,5.09
velikim,5.09
ceo,5.08
dom,5.08
došlo,5.08
društva,5.08
evropi,5.08
imam,5.08
imate,5.08
majka,5.08
moguće,5.08
njihov,5.08
novom,5.08
noći,5.08
oči,5.08
porodica,5.08
počela,5.08
pravila,5.08
razlog,5.08
rođen,5.08
čine,5.08
članovi,5.08
američki,5.07
bogu,5.07
car,5.07
dobila,5.07
došli,5.07
drugu,5.07
godinama,5.07
januara,5.07
juna,5.07
napad,5.07
neku,5.07
njihove,5.07
novembra,5.07
ostale,5.07
podaci,5.07
putem,5.07
roditelji,5.07
ruku,5.07
slučaj,5.07
srbija,5.07
trenutno,5.07
tv,5.07
zahvaljujući,5.07
zakon,5.07
cara,5.06
decembra,5.06
jula,5.06
moramo,5.06
napisao,5.06
novca,5.06
predsednik,5.06
rada,5.06
stari,5.06
svijeta,5.06
tzv,5.06
uskoro,5.06
videti,5.06
vojska,5.06
znamo,5.06
daje,5.05
dolara,5.05
društvo,5.05
glas,5.05
hoće,5.05
istina,5.05
ka,5.05
la,5.05
njegovom,5.05
nosi,5.05
oblik,5.05
opštini,5.05
osnovu,5.05
policija,5.05
početka,5.05
razgovor,5.05
sata,5.05
situacija,5.05
znak,5.05
školi,5.05
žive,5.05
borbi,5.04
dati,5.04
deca,5.04
dobre,5.04
istorija,5.04
itd,5.04
ivan,5.04
izbora,5.04
kakav,5.04
mjestu,5.04
naši,5.04
nemačke,5.04
obzirom,5.04
politički,5.04
prvih,5.04
različitih,5.04
red,5.04
republika,5.04
sajtu,5.04
slike,5.04
također,5.04
ukupno,5.04
velikih,5.04
vratio,5.04
završio,5.04
zemlja,5.04
čija,5.04
decu,5.03
di,5.03
doma,5.03
energije,5.03
gradova,5.03
in,5.03
istovremeno,5.03
jedinica,5.03
njegovih,5.03
novu,5.03
odnosi,5.03
onih,5.03
onoga,5.03
programa,5.03
prošle,5.03
razliku,5.03
riječ,5.03
samom,5.03
sastanak,5.03
stranke,5.03
telo,5.03
blizini,5.02
borbe,5.02
budući,5.02
istraživanja,5.02
john,5.02
kim,5.02
luka,5.02
mala,5.02
napada,5.02
naziva,5.02
njihova,5.02
objekata,5.02
osam,5.02
osobe,5.02
ostalih,5.02
prvu,5.02
regionu,5.02
sasvim,5.02
slika,5.02
zagrebu,5.02
autor,5.01
bosne,5.01
godini,5.01
hvala,5.01
izbor,5.01
knjigu,5.01
obitelji,5.01
objavio,5.01
ostao,5.01
ovdje,5.01
pismo,5.01
poslednji,5.01
primer,5.01
stvarno,5.01
sutra,5.01
takve,5.01
želite,5.01
brat,5.0
crne,5.0
dolaze,5.0
drugoj,5.0
govorio,5.0
instituta,5.0
jedinice,5.0
nagradu,5.0
nekom,5.0
organizacija,5.0
ostalo,5.0
postala,5.0
potrebna,5.0
stara,5.0
treći,5.0
čelu,5.0
granice,4.99
iii,4.99
jednoj,4.99
naročito,4.99
nekih,4.99
njegovi,4.99
njegovim,4.99
novo,4.99
pak,4.99
pravu,4.99
proces,4.99
sobom,4.99
srbima,4.99
srce,4.99
stoga,4.99
svaka,4.99
trenutku,4.99
univerzitet,4.99
unutar,4.99
vama,4.99
vidim,4.99
zagreb,4.99
želim,4.99
aleksandar,4.98
brod,4.98
februara,4.98
filma,4.98
nacionalnog,4.98
našim,4.98
nemaju,4.98
nikola,4.98
podacima,4.98
prilično,4.98
različite,4.98
ruski,4.98
savez,4.98
stanje,4.98
veliko,4.98
vojnika,4.98
šef,4.98
američke,4.97
bivši,4.97
blizu,4.97
dešava,4.97
informacije,4.97
kultura,4.97
loše,4.97
nastavi,4.97
naših,4.97
područje,4.97
političke,4.97
početak,4.97
pripada,4.97
prostor,4.97
raditi,4.97
sastavu,4.97
sezone,4.97
smislu,4.97
srca,4.97
sveti,4.97
takva,4.97
veku,4.97
vide,4.97
voda,4.97
zemalja,4.97
želimo,4.97
boje,4.96
bol,4.96
cilj,4.96
hercegovine,4.96
institucije,4.96
manastir,4.96
naselja,4.96
nekada,4.96
petar,4.96
pokreta,4.96
poznat,4.96
saveza,4.96
smatraju,4.96
svake,4.96
svojom,4.96
vidimo,4.96
bolji,4.95
mada,4.95
materijala,4.95
narod,4.95
nazivom,4.95
našem,4.95
oblika,4.95
obzira,4.95
perioda,4.95
priče,4.95
svaku,4.95
učiniti,4.95
veće,4.95
vjerojatno,4.95
zajednice,4.95
znao,4.95
dođe,4.94
francuske,4.94
gori,4.94
kilometara,4.94
konačno,4.94
lakše,4.94
muzej,4.94
njena,4.94
osvojio,4.94
partije,4.94
položaj,4.94
poznati,4.94
probleme,4.94
profesor,4.94
srbi,4.94
stanju,4.94
status,4.94
svemu,4.94
tipa,4.94
ulici,4.94
un,4.94
velikom,4.94
verujem,4.94
aktivnosti,4.93
avgusta,4.93
igre,4.93
j,4.93
kola,4.93
meseci,4.93
michael,4.93
mnogim,4.93
morate,4.93
npr,4.93
oba,4.93
odlazi,4.93
pogled,4.93
pomoću,4.93
potpunosti,4.93
prati,4.93
predsjednika,4.93
rezultat,4.93
srba,4.93
stoji,4.93
str,4.93
tebe,4.93
vodu,4.93
vojne,4.93
zar,4.93
duh,4.92
general,4.92
govore,4.92
hrane,4.92
igru,4.92
jednim,4.92
korak,4.92
kuću,4.92
ličnosti,4.92
ostala,4.92
ostati,4.92
pažnju,4.92
sastoji,4.92
slobodno,4.92
studija,4.92
svetskog,4.92
ulica,4.92
univerziteta,4.92
vesti,4.92
čije,4.92
al,4.91
brojne,4.91
dokaz,4.91
hrvatskog,4.91
