lemma,folded_frequency
baviti,5.33
ubiti,5.32
igrati,5.32
brat,5.32
km,5.32
posebno,5.32
potom,5.32
uglavnom,5.32
grčki,5.32
nastati,5.32
služiti,5.32
lokalan,5.32
ljudski,5.32
svetski,5.31
razlika,5.31
čuti,5.31
pravilo,5.31
septembar,5.31
riječ,5.31
polje,5.31
koma,5.31
održati,5.31
zvati,5.31
Zagreb,5.31
vojnik,5.31
tip,5.31
zapadni,5.31
novembar,5.3
autor,5.3
ulica,5.3
položaj,5.3
događaj,5.3
krv,5.3
jako,5.3
januar,5.3
gradski,5.3
sezona,5.3
turski,5.29
oktobar,5.29
bar,5.29
sila,5.29
zajednica,5.29
dosta,5.29
iza,5.29
sistemati,5.29
širok,5.29
cijel,5.29
tekst,5.29
energija,5.29
dovesti,5.29
pokazati,5.28
noć,5.28
napisati,5.28
iznositi,5.28
razni,5.28
de,5.28
d,5.28
proizvodnja,5.28
ući,5.28
znak,5.28
mjesec,5.28
poseban,5.28
odluka,5.27
istraživanje,5.27
ostaviti,5.27
osnova,5.27
držati,5.27
stići,5.27
spreman,5.27
funkcija,5.27
doba,5.27
odlučiti,5.27
moguć,5.27
otići,5.27
sastanak,5.27
metar,5.27
proći,5.27
sadržati,5.26
dokaz,5.26
navoditi,5.26
dugo,5.26
b,5.26
francuski,5.26
nazivati,5.26
pola,5.26
krenuti,5.26
jun,5.26
informacija,5.26
niti,5.25
ovakav,5.25
partija,5.25
pripadati,5.25
razgovor,5.25
ii,5.25
meni,5.25
San,5.25
tijelo,5.25
visina,5.24
fakultet,5.24
mir,5.24
Bosna,5.24
materijal,5.24
izgubiti,5.24
r,5.24
zgrada,5.24
pronaći,5.24
dete,5.24
poslije,5.24
puno,5.24
razgovarati,5.24
linija,5.24
postajati,5.24
dom,5.24
čekati,5.24
poziv,5.24
operacija,5.23
muzej,5.23
projekt,5.23
uspjeti,5.23
ispred,5.23
n,5.23
sigurno,5.23
uzeti,5.23
stajati,5.23
manastir,5.23
pisac,5.23
poruka,5.22
osnovati,5.22
Crna,5.22
luka,5.22
stran,5.22
pokušavati,5.22
davati,5.22
posljednji,5.22
uopšte,5.22
verovatno,5.22
pitati,5.22
institut,5.22
zaštita,5.22
lik,5.22
oba,5.21
sastav,5.21
ist,5.21
duh,5.21
smisao,5.21
okvir,5.21
sukob,5.21
ispod,5.21
jedino,5.21
jugoslavije,5.21
p,5.21
uvijek,5.21
otkriti,5.21
crven,5.21
deset,5.21
poslednje,5.21
oružje,5.21
element,5.2
srednji,5.2
trajati,5.2
region,5.2
ozbiljan,5.2
obično,5.2
zapravo,5.2
književnost,5.2
kupiti,5.2
petar,5.2
h,5.2
prirodan,5.2
prošli,5.19
aleksandar,5.19
festival,5.19
roman,5.19
telefon,5.19
žrtva,5.19
the,5.19
tj,5.19
prvenstvo,5.19
hiljad,5.19
pogled,5.19
igrač,5.19
general,5.19
budući,5.18
stvoriti,5.18
kontrola,5.18
evropski,5.18
današnji,5.18
društven,5.18
nikakav,5.18
vrata,5.18
muškarac,5.18
formirati,5.18
obitelj,5.18
bol,5.18
zajednički,5.18
napustiti,5.18
služba,5.17
soba,5.17
premijer,5.17
kompanija,5.17
carstvo,5.17
duša,5.17
obzir,5.17
promen,5.17
centralan,5.17
van,5.17
potreba,5.17
tvoj,5.16
institucija,5.16
dogoditi,5.16
model,5.16
ovako,5.16
pošto,5.16
republik,5.16
skup,5.16
pad,5.16
prihvatiti,5.16
mesec,5.16
zapad,5.15
javan,5.15
siguran,5.15
sporazum,5.15
profesor,5.15
količina,5.15
let,5.15
aktivnost,5.15
gospodin,5.15
poslati,5.15
iznad,5.15
nikad,5.15
nikola,5.15
spomenik,5.14
ugovor,5.14
bolnica,5.14
upoznati,5.14
težak,5.14
istok,5.14
šef,5.14
izgradnja,5.14
skupština,5.14
ostatak,5.14
sestra,5.14
kulturan,5.14
utakmica,5.14
priroda,5.14
planina,5.14
metoda,5.14
pozvati,5.14
struktura,5.14
javljati,5.13
vezan,5.13
predmet,5.13
izdanje,5.13
evo,5.13
jednostavno,5.13
nedelje,5.13
of,5.13
svakako,5.13
tema,5.13
svjetski,5.13
moliti,5.13
uprava,5.13
status,5.13
životinja,5.13
zahvaljivati,5.13
stranica,5.12
devojka,5.12
odlaziti,5.12
zlatan,5.12
pravoslavan,5.12
apriti,5.12
t,5.12
ministar,5.12
park,5.12
stvaranje,5.12
tvrditi,5.12
ekonomski,5.12
more,5.12
mogućnost,5.12
mađarski,5.12
primer,5.12
započeti,5.11
narodni,5.11
