#ESV	Root	Lat	Lon	Verses	Comment
Akeldama	Jerusalem	~31.777444	~35.234935	Acts 1:19	
Akrabbim		30.688292	35.263182	Num 34:4, Josh 15:3, Judg 1:36	
Alemeth		31.828406	35.287637	1 Chr 6:60	
Alexandria		31.2278414761719	29.9569242709775	Acts 18:24, Acts 27:6, Acts 28:11	
Allammelech		~32.97829	~35.182915	Josh 19:26	
Allon-bacuth	Bethel 1	~31.93053920580005	~35.22103274923676	Gen 35:8	
Almon	Alemeth	31.828406	35.287637	Josh 21:18	
Almon-diblathaim	Dibon 1	31.49684513710609	35.78284105296996	Num 33:46, Num 33:47	
Alush	Dophkah	~28.770015	~33.400460	Num 33:13, Num 33:14	
Amad		33.019337	35.173644	Josh 19:26	
Amalek		>30.659770	>34.835554	Ex 17:8, Ex 17:9, Ex 17:10, Ex 17:11, Ex 17:13, Ex 17:14, Ex 17:16, Num 24:20, Deut 25:17, Deut 25:19, 1 Sam 15:2, 1 Sam 15:3, 1 Sam 15:5, 1 Sam 15:20, 1 Sam 28:18, 2 Sam 8:12, 1 Chr 18:11, Ps 83:7	region
Amam	Moladah	~31.162327	~35.057114	Josh 15:26	
Amana		33.681370	36.055039	Sng 4:8	
Amaw	Pethor	~36.654616	~38.068879	Num 22:5	
Ammah		~31.869005	~35.343177	2 Sam 2:24	
Ammon		31.95018855468469	35.92413135872749	Deut 2:19, Deut 2:37, Judg 11:27, 2 Chr 20:10, 2 Chr 20:22, 2 Chr 20:23, Neh 13:23, Ps 83:7, Jer 9:26, Jer 25:21, Jer 27:3, Ezek 25:5	
Amphipolis		40.82322547229525	23.83863142894023	Acts 17:1	
Anab		31.403888	34.944185	Josh 11:21, Josh 15:50	
Anaharath		32.607039	35.397389	Josh 19:19	
Ananiah		31.832910?	35.219683	Neh 11:32	
Anathoth		31.81291276898118	35.26349894226843	Josh 21:18, 2 Sam 23:27, 1 Kgs 2:26, 1 Chr 6:60, 1 Chr 11:28, 1 Chr 12:3, 1 Chr 27:12, Ezra 2:23, Neh 7:27, Neh 11:32, Isa 10:30, Jer 1:1, Jer 11:21, Jer 11:23, Jer 29:27, Jer 32:7, Jer 32:8, Jer 32:9	
Anem	En-gannim 2	32.46349905885267	35.3036831926058	1 Chr 6:73	
Aner	Taanach	32.51723975501718	35.21632508826309	1 Chr 6:70	
Angle	Jerusalem	<31.777444	<35.234935	2 Chr 26:9	
Anim		31.373521	35.074552	Josh 15:50	
Antioch 1		36.20233087051257	36.16238775165068	Acts 6:5, Acts 11:19, Acts 11:20, Acts 11:22, Acts 11:26, Acts 11:27, Acts 13:1, Acts 14:26, Acts 15:22, Acts 15:23, Acts 15:30, Acts 15:35, Acts 18:22, Gal 2:11	
Antioch 2		38.31643056393041	31.17948683048973	Acts 13:14, Acts 14:19, Acts 14:21, 2 Tim 3:11	
Antipatris		32.10043792968003	34.94650938910333	Acts 23:31	
Aphek 1		34.066067	35.865801	Josh 13:4, Josh 19:30	http://www.traveljournals.net/explore/lebanon/map/m1170262/hamul.html
Aphek 2		32.1047126614992	34.93197921211777	Josh 12:18, 1 Sam 4:1, 1 Sam 29:1	
Aphek 3		32.77826806589006	35.69874935270775	1 Kgs 20:26, 1 Kgs 20:30, 2 Kgs 13:17	
Aphekah	Aphek 2	32.1047126614992	34.93197921211777	Josh 15:53	
