#ESV	Root	Lat	Lon	Verses	Comment
Beth-dagon 2		~32.899561	~35.107928	Josh 19:27	
Beth-diblathaim	Dibon 1	31.49684513710609	35.78284105296996	Jer 48:22	
Beth-eden	Damascus	~33.519299	~36.31344999999999	Amos 1:5	
Beth-eked	Jezreel 2	~32.5559631396043	~35.33078927843792	2 Kgs 10:12, 2 Kgs 10:14	
Bethel 1		31.93053920580005	35.22103274923676	Gen 12:8, Gen 13:3, Gen 28:19, Gen 31:13, Gen 35:1, Gen 35:3, Gen 35:6, Gen 35:8, Gen 35:15, Gen 35:16, Josh 7:2, Josh 8:9, Josh 8:12, Josh 8:17, Josh 12:9, Josh 16:1, Josh 16:2, Josh 18:13, Josh 18:22, Judg 1:22, Judg 1:23, Judg 4:5, Judg 20:18, Judg 20:26, Judg 20:31, Judg 21:2, Judg 21:19, 1 Sam 7:16, 1 Sam 10:3, 1 Sam 13:2, 1 Kgs 12:29, 1 Kgs 12:32, 1 Kgs 12:33, 1 Kgs 13:1, 1 Kgs 13:4, 1 Kgs 13:10, 1 Kgs 13:11, 1 Kgs 13:32, 1 Kgs 16:34, 2 Kgs 2:2, 2 Kgs 2:3, 2 Kgs 2:23, 2 Kgs 10:29, 2 Kgs 17:28, 2 Kgs 23:4, 2 Kgs 23:15, 2 Kgs 23:17, 2 Kgs 23:19, 1 Chr 7:28, 2 Chr 13:19, Ezra 2:28, Neh 7:32, Neh 11:31, Jer 48:13, Hos 10:15, Hos 12:4, Amos 3:14, Amos 4:4, Amos 5:5, Amos 5:6, Amos 7:10, Amos 7:13, Zech 7:2	
Bethel 2	Baalath-beer	~32.049953	~35.733402	Josh 12:16, 1 Sam 30:27	
Beth-emek		32.978855	35.167096	Josh 19:27	
Bethesda	Jerusalem	<31.777444	<35.234935	John 5:2	
Beth-ezel	Shaphir	~31.743719	~34.694006	Mic 1:11	
Beth-gamul		31.519692	35.844714	Jer 48:23	
Beth-gilgal	Gilgal 1	31.86378328132916	35.51854651224448	Neh 12:29	from tyndale
Beth-haccherem		31.665911	35.241516	Neh 3:14, Jer 6:1	
Beth-haggan	Megiddo	~32.58418313614938	~35.18229165870594	2 Kgs 9:27	
Beth-haram		31.816667	35.583333	Josh 13:27	~
Beth-haran	Beth-haram	31.816667	35.583333	Num 32:36	
Beth-hoglah		31.837062	35.513151	Josh 15:6, Josh 18:19, Josh 18:21	
Beth-horon	Lower Beth-horon	31.87892595986906	35.12356744466153	Josh 10:10, Josh 10:11, Josh 18:14, Josh 21:22, 1 Sam 13:18, 1 Chr 6:68, 2 Chr 25:13	
Beth-jeshimoth		31.77691134657884	35.59865748950166	Num 33:49, Josh 12:3, Josh 13:20, Ezek 25:9	
Beth-le-aphrah	Ophrah 1	31.95378955858199	35.29913577541004	Mic 1:10	
Beth-lebaoth	Madmannah	~31.391668	~34.940502	Josh 19:6	
Bethlehem 1		31.70536129174666	35.21026630105202	Gen 35:19, Gen 48:7, Judg 12:8, Judg 12:10, Judg 17:7, Judg 17:8, Judg 17:9, Judg 19:1, Judg 19:2, Judg 19:18, Ruth 1:1, Ruth 1:2, Ruth 1:19, Ruth 1:22, Ruth 2:4, Ruth 4:11, 1 Sam 16:4, 1 Sam 17:12, 1 Sam 17:15, 1 Sam 20:6, 1 Sam 20:28, 2 Sam 2:32, 2 Sam 23:14, 2 Sam 23:15, 2 Sam 23:16, 2 Sam 23:24, 1 Chr 11:16, 1 Chr 11:17, 1 Chr 11:18, 1 Chr 11:26, 2 Chr 11:6, Ezra 2:21, Neh 7:26, Jer 41:17, Matt 2:1, Matt 2:5, Matt 2:6, Matt 2:8, Matt 2:16, Luke 2:4, Luke 2:15	
Bethlehem 2		32.735379	35.189704	Josh 19:15	
Bethlehem Ephrathah	Bethlehem 1	31.70536129174666	35.21026630105202	Mic 5:2	
Beth-maacah	Abel-beth-maacah	33.26852614315892	35.57804682248786	2 Sam 20:14, 2 Sam 20:15	
Beth-marcaboth	Madmannah	31.391668	34.940502	Josh 19:5, 1 Chr 4:31	
Beth-meon	Baal-meon	31.679454	35.734892	Jer 48:23	
Beth-millo	Shechem	~32.21369123124062	~35.2817986718367	Judg 9:6, Judg 9:20	
Beth-nimrah		31.900811	35.625693	Num 32:36, Josh 13:27	now Beth-Nimrah
Beth-pazzez	En-gannim 2	~32.46349905885267	~35.3036831926058	Josh 19:21	
Beth-pelet	Hazar-shual	~31.215418	~34.942986	Josh 15:27, Neh 11:26	
Beth-peor		31.656099	35.711870	Deut 3:29, Deut 4:46, Deut 34:6, Josh 13:20	~
Bethphage		31.79038300543012	35.25667232374259	Matt 21:1, Mark 11:1, Luke 19:29	
Beth-rehob		33.219354	35.544122	Judg 18:28, 2 Sam 10:6	
Bethsaida		32.90784828392077	35.62697295608815	Matt 11:21, Mark 6:45, Mark 8:22, Luke 9:10, Luke 10:13, John 1:44, John 12:21	
Beth-shan		32.5042384550589	35.50307739108582	1 Sam 31:10, 1 Sam 31:12, 2 Sam 21:12	
Beth-shean	Beth-shan	32.5042384550589	35.50307739108582	Josh 17:11, Josh 17:16, Judg 1:27, 1 Kgs 4:12, 1 Chr 7:29	
Beth-shemesh 1		31.75274835811488	34.97660913147738	Josh 15:10, Josh 21:16, 1 Sam 6:9, 1 Sam 6:12, 1 Sam 6:13, 1 Sam 6:14, 1 Sam 6:15, 1 Sam 6:18, 1 Sam 6:19, 1 Sam 6:20, 1 Kgs 4:9, 2 Kgs 14:11, 2 Kgs 14:13, 1 Chr 6:59, 2 Chr 25:21, 2 Chr 25:23, 2 Chr 28:18	
Beth-shemesh 2		32.406430	35.504628	Josh 19:22	~
Beth-shemesh 3	Beth-anath	~33.146864	~35.427134	Josh 19:38, Judg 1:33	
Beth-shittah		32.552496	35.438257	Judg 7:22	
Beth-tappuah		31.529730	35.050377	Josh 15:53	
Beth-togarmah		>40.065539	>45.036328	Ezek 27:14, Ezek 38:6	region
Bethuel	Baalath-beer	~32.049953	~35.733402	1 Chr 4:30	
Bethul	Baalath-beer	~32.049953	~35.733402	Josh 19:4	
Beth-zur		31.596107	35.102620	Josh 15:58, 2 Chr 11:7, Neh 3:16	
Betonim		32.010500	35.706297	Josh 13:26	
Beyond the River	Jerusalem	>31.777444	>35.234935	Ezra 4:10, Ezra 4:11, Ezra 4:16, Ezra 4:17, Ezra 4:20, Ezra 5:3, Ezra 5:6, Ezra 6:6, Ezra 6:8, Ezra 6:13, Ezra 7:21, Ezra 7:25, Ezra 8:36, Neh 2:7, Neh 2:9, Neh 3:7	region
Bezek 1		31.898029	34.952878	Judg 1:4, Judg 1:5	~
Bezek 2		32.3667	35.4	1 Sam 11:8	
Bezer		32.51613740944529	36.48829075785014	Deut 4:43, Josh 20:8, Josh 21:36, 1 Chr 6:78	
Bileam	Ibleam	32.45	35.2833	1 Chr 6:70	
Bilhah	Beersheba	~31.24495217357714	~34.8408885849849	1 Chr 4:29	
Bithynia		>40.905503	>30.685778	Acts 16:7, 1 Pet 1:1	region
Biziothiah	Beersheba	~31.24495217357714	~34.8408885849849	Josh 15:28	
Bochim	Bethel 1	31.93053920580005	35.22103274923676	Judg 2:1, Judg 2:5	?
Bor-ashan	Ashnah	~31.8099	~34.9365	1 Sam 30:30	
Bozez		31.85716450320853	35.28714718824809	1 Sam 14:4	
Bozkath	Lachish	~31.56485056116292	~34.8467256730566	Josh 15:39, 2 Kgs 22:1	
Bozrah 1		30.734691	35.606250	Gen 36:33, 1 Chr 1:44, Isa 34:6, Isa 63:1, Jer 49:13, Jer 49:22, Amos 1:12	
Bozrah 2	Bezer	32.51613740944529	36.48829075785014	Jer 48:24	
Broad Wall	Jerusalem	~31.777444	~35.234935	Neh 3:8, Neh 12:38	
Brook of Egypt		31.032047	33.854957	Num 34:5, Josh 15:4, Josh 15:47, 1 Kgs 8:65, 2 Kgs 24:7, 2 Chr 7:8, Isa 27:12, Ezek 47:19, Ezek 48:28	river: now Wadi al Arish; http://en.wikipedia.org/wiki/Brook_of_Egypt
Brook of the Arabah	Hamath	~35.136204	~36.749488	Amos 6:14	
Brook of the Willows	Jordan Valley	~32.309099	~35.559900	Isa 15:7	
Buz	Dedan	~26.625139	~37.919663	Jer 25:23	
Cabbon	Eglon	~31.5	~34.7667	Josh 15:40	
Cabul 1		32.865661	35.211814	Josh 19:27	
Cabul 2	Cabul 1	~32.865661	~35.211814	1 Kgs 9:13	
Caesarea		32.499544608298	34.89218497556097	Acts 8:40, Acts 9:30, Acts 10:1, Acts 10:24, Acts 11:11, Acts 12:19, Acts 18:22, Acts 21:8, Acts 21:16, Acts 23:23, Acts 23:33, Acts 25:1, Acts 25:4, Acts 25:6, Acts 25:13	
Caesarea Philippi		33.2480599128704	35.69463725353769	Matt 16:13, Mark 8:27	
Calah		36.142884	43.312178	Gen 10:11, Gen 10:12	?
Calneh		32.127213	45.229995	Gen 10:10, Amos 6:2	
Calno	Calneh	32.127213	45.229995	Isa 10:9	
Cana		32.74701517958585	35.33877162058164	John 2:1, John 2:11, John 4:46, John 21:2	
Canaan	Gath	>31.69352950368834	>34.84388288576839	Gen 11:31, Gen 12:5, Gen 13:12, Gen 16:3, Gen 17:8, Gen 23:2, Gen 23:19, Gen 31:18, Gen 33:18, Gen 35:6, Gen 36:5, Gen 36:6, Gen 37:1, Gen 42:5, Gen 42:7, Gen 42:13, Gen 42:29, Gen 42:32, Gen 44:8, Gen 45:17, Gen 45:25, Gen 46:6, Gen 46:12, Gen 46:31, Gen 47:1, Gen 47:4, Gen 47:13, Gen 47:14, Gen 47:15, Gen 48:3, Gen 48:7, Gen 49:30, Gen 50:5, Gen 50:13, Ex 6:4, Ex 15:15, Ex 16:35, Lev 14:34, Lev 18:3, Lev 25:38, Num 13:2, Num 13:17, Num 26:19, Num 32:30, Num 32:32, Num 33:40, Num 33:51, Num 34:2, Num 34:29, Num 35:10, Num 35:14, Deut 32:49, Josh 5:12, Josh 14:1, Josh 21:2, Josh 22:9, Josh 22:10, Josh 22:11, Josh 22:32, Josh 24:3, Judg 3:1, Judg 4:2, Judg 4:23, Judg 4:24, Judg 5:19, Judg 21:12, 1 Chr 16:18, Ps 105:11, Ps 106:38, Ps 135:11, Isa 19:18, Isa 23:11, Zeph 2:5, Acts 7:11, Acts 13:19	region
Canneh	Calneh	32.127213	45.229995	Ezek 27:23	
Capernaum		32.88059412581622	35.57515767479308	Matt 4:13, Matt 8:5, Matt 11:23, Matt 17:24, Mark 1:21, Mark 2:1, Mark 9:33, Luke 4:23, Luke 4:31, Luke 7:1, Luke 10:15, John 2:12, John 4:46, John 6:17, John 6:24, John 6:59	
Caphtor	Crete	35.171239	25.007204	Deut 2:23, Jer 47:4, Amos 9:7	http://en.wikipedia.org/wiki/Caphtor
Cappadocia		>36.731904	>35.486302	Acts 2:9, 1 Pet 1:1	region
Carchemish		36.82928161099629	38.01576051001015	2 Chr 35:20, Isa 10:9, Jer 46:2	
Carmel		31.43333151674604	35.13333188530802	Josh 12:22, Josh 15:55, Josh 19:26, 1 Sam 15:12, 1 Sam 25:2, 1 Sam 25:5, 1 Sam 25:7, 1 Sam 25:40, 1 Sam 27:3, 1 Sam 30:5, 2 Sam 2:2, 2 Sam 3:3, 2 Sam 23:35, 1 Chr 11:37, Sng 7:5, Isa 33:9, Isa 35:2, Jer 46:18, Jer 50:19, Amos 1:2, Amos 9:3, Nahum 1:4	
Casiphia	Hamath	~35.136204	~36.749488	Ezra 8:17	?
Cauda		34.843510	24.091671	Acts 27:16	island; now Gavdos; http://www.creteisland.gr/english/chania/selino/gavdos/
Cenchreae		37.88460365000972	22.9933595701051	Acts 18:18, Rom 16:1	
Chaldea	Ur	>30.9620520474569	>46.10374195774169	Isa 48:20, Jer 50:10, Jer 51:24, Jer 51:35, Ezek 11:24, Ezek 16:29, Ezek 23:15, Ezek 23:16	region
Chebar		33.159129	44.062930	Ezek 1:1, Ezek 1:3, Ezek 3:15, Ezek 3:23, Ezek 10:15, Ezek 10:20, Ezek 10:22, Ezek 43:3	~; now Nehardea; http://www.hebrewhistory.info/factpapers/fp031_iraq.htm
Chephar-ammoni		31.966667	35.250000	Josh 18:24	?; now Khirbat Kafr Ana
Chephirah		31.836401	35.095272	Josh 9:17, Josh 18:26, Ezra 2:25, Neh 7:29	now Kirbat el Kafira
Cherith	Jordan Valley	~32.309099	~35.559900	1 Kgs 17:3, 1 Kgs 17:5	
Cherub	Babel	~32.53650368616845	~44.42088287373876	Ezra 2:59, Neh 7:61	
Chesalon		31.781049	35.051130	Josh 15:10	
Chesil	Baalath-beer	~32.049953	~35.733402	Josh 15:30	
Chesulloth		32.683231	35.324694	Josh 19:18	
Chezib	Achzib 1	31.700000	35.000000	Gen 38:5	
Chilmad	Nineveh	~>36.359410	~>43.152887	Ezek 27:23	
Chinnereth 1	Sea of Galilee	32.80677585520321	35.58936052679091	Deut 3:17	
Chinnereth 2	Sea of Galilee	~32.80677585520321	~35.58936052679091	Josh 19:35	
Chinneroth	Sea of Galilee	>32.80677585520321	>35.58936052679091	Josh 11:2, 1 Kgs 15:20	region
Chios		38.444840	26.063302	Acts 20:15	now Chios
Chisloth-tabor	Chesulloth	32.683231	35.324694	Josh 19:12	
Chitlish	Gederah	~31.823337	~34.777779	Josh 15:40	
Chorazin		32.90909168933021	35.55292324144203	Matt 11:21, Luke 10:13	
Cilicia	Tarsus	>36.91802695356275	>34.89153398422567	Acts 6:9, Acts 15:23, Acts 15:41, Acts 21:39, Acts 22:3, Acts 23:34, Acts 27:5, Gal 1:21	region
City of Destruction	On	30.108086	31.338220	Isa 19:18	
City of Salt	Engedi	~31.46152536164766	~35.39241108242345	Josh 15:62	
City of the Lord	Jerusalem	31.777444	35.234935	Isa 60:14	
Cnidus		36.68502255790917	27.37439432376754	Acts 27:7	
Colossae		37.78333333333333	29.25	Col 1:2	
Corinth		37.9059573586561	22.87788175588845	Acts 18:1, Acts 19:1, 1 Cor 1:2, 2 Cor 1:1, 2 Cor 1:23, 2 Tim 4:20	
Corner Gate	Jerusalem	<31.777444	<35.234935	2 Kgs 14:13, 2 Chr 25:23, 2 Chr 26:9, Jer 31:38, Zech 14:10	
Cos		36.80467006054953	27.08994040521288	Acts 21:1	
Cozeba	Achzib 1	31.700000	35.000000	1 Chr 4:22	
Crete		35.171239	25.007204	Acts 27:7, Acts 27:12, Acts 27:13, Acts 27:21, Titus 1:5	island
Cun	Berothah	33.931480	36.152049	1 Chr 18:8	
Cush	Ethiopia	>21.959788	>31.343557	Gen 2:13, 2 Kgs 19:9, Ps 68:31, Ps 87:4, Isa 11:11, Isa 18:1, Isa 20:3, Isa 20:5, Isa 37:9, Isa 43:3, Isa 45:14, Jer 46:9, Ezek 29:10, Ezek 30:4, Ezek 30:5, Ezek 30:9, Ezek 38:5, Nahum 3:9, Zeph 3:10	
Cushan	Ethiopia	>21.959788	>31.343557	Hab 3:7	
Cuth		32.733333	44.666667	2 Kgs 17:30	http://en.wikipedia.org/wiki/Kutha
Cuthah	Cuth	32.733333	44.666667	2 Kgs 17:24	
Cyprus		35.018306	33.207693	Isa 23:1, Isa 23:12, Jer 2:10, Ezek 27:6, Acts 4:36, Acts 11:19, Acts 11:20, Acts 13:4, Acts 15:39, Acts 21:3, Acts 21:16, Acts 27:4	island
Cyrene		32.824979	21.858301	Matt 27:32, Mark 15:21, Luke 23:26, Acts 2:10, Acts 11:20, Acts 13:1	http://en.wikipedia.org/wiki/Cyrene%2C_Libya
Dabbesheth		33.000000	35.266682	Josh 19:11	
Daberath		32.69171267584284	35.37171031061986	Josh 19:12, Josh 21:28, 1 Chr 6:72	
Dalmanutha	Magadan	32.84733494629723	35.5229361797708	Mark 8:10	
Dalmatia		>43.515484	>16.071538	2 Tim 4:10	region
Damascus		33.519299	36.31344999999999	Gen 14:15, Gen 15:2, 2 Sam 8:5, 2 Sam 8:6, 1 Kgs 11:24, 1 Kgs 15:18, 1 Kgs 19:15, 1 Kgs 20:34, 2 Kgs 5:12, 2 Kgs 8:7, 2 Kgs 8:9, 2 Kgs 14:28, 2 Kgs 16:9, 2 Kgs 16:10, 2 Kgs 16:11, 2 Kgs 16:12, 1 Chr 18:5, 1 Chr 18:6, 2 Chr 16:2, 2 Chr 24:23, 2 Chr 28:5, 2 Chr 28:23, Sng 7:4, Isa 7:8, Isa 8:4, Isa 10:9, Isa 17:1, Isa 17:3, Jer 49:23, Jer 49:24, Jer 49:27, Ezek 27:18, Ezek 47:16, Ezek 47:17, Ezek 47:18, Ezek 48:1, Amos 1:3, Amos 1:5, Amos 5:27, Zech 9:1, Acts 9:2, Acts 9:3, Acts 9:8, Acts 9:10, Acts 9:19, Acts 9:22, Acts 9:27, Acts 22:5, Acts 22:6, Acts 22:10, Acts 22:11, Acts 26:12, Acts 26:20, 2 Cor 11:32, Gal 1:17	
Dan		33.24865997897308	35.65248345039043	Gen 14:14, Josh 19:47, Judg 18:29, Judg 20:1, 1 Sam 3:20, 2 Sam 3:10, 2 Sam 17:11, 2 Sam 24:2, 2 Sam 24:6, 2 Sam 24:15, 1 Kgs 4:25, 1 Kgs 12:29, 1 Kgs 12:30, 1 Kgs 15:20, 2 Kgs 10:29, 1 Chr 21:2, 2 Chr 16:4, 2 Chr 30:5, Jer 4:15, Jer 8:16	
Dannah		31.561025	34.975472	Josh 15:49	
Debir 1		31.41666959977098	34.96667012280085	Josh 10:38, Josh 10:39, Josh 11:21, Josh 12:13, Josh 15:15, Josh 15:49, Josh 21:15, Judg 1:11, 1 Chr 6:58	
Debir 2		31.816662	35.349994	Josh 15:7	now Ed Dhaherie
Debir 3	Lo-debar	32.662488	35.783568	Josh 13:26	
Decapolis	Damascus	>33.519299	>36.31344999999999	Matt 4:25, Mark 5:20, Mark 7:31	region
Dedan		26.625139	37.919663	Jer 25:23, Jer 49:8, Ezek 25:13, Ezek 27:15, Ezek 27:20, Ezek 38:13	http://en.wikipedia.org/wiki/Al-%27Ula
Derbe		37.35092016962404	33.27141769926378	Acts 14:6, Acts 14:20, Acts 16:1, Acts 20:4	
Dibon 1		31.49684513710609	35.78284105296996	Num 21:30, Num 32:3, Num 32:34, Josh 13:9, Josh 13:17, Isa 15:2, Isa 15:9, Jer 48:18, Jer 48:22	
Dibon 2	Adadah	~31.1858	~34.96745	Neh 11:25	
Dibon-gad	Dibon 1	31.49684513710609	35.78284105296996	Num 33:45, Num 33:46	
Dilean	Lachish	~31.56485056116292	~34.8467256730566	Josh 15:38	
Dimnah		32.781808	35.321364	Josh 21:35	
Dimonah	Adadah	~31.1858	~34.96745	Josh 15:22	
Dinhabah		30.336614?	35.529889?	Gen 36:32, 1 Chr 1:43	~
Diviners' Oak	Shechem	<32.21369123124062	<35.2817986718367	Judg 9:37	
Dizahab		28.507836	34.516339	Deut 1:1	
Dophkah		~28.770015	~33.400460	Num 33:12, Num 33:13	
Dor		32.61323618394521	34.91889683434057	Josh 12:23, Josh 17:11, Judg 1:27, 1 Chr 7:29	
Dothan		32.42064338380848	35.18019829952955	Gen 37:17, 2 Kgs 6:13	
Dragon Spring	Jerusalem	<31.777444	<35.234935	Neh 2:13	
Dumah 1		31.438270	34.982762	Josh 15:52	
Dumah 2	Arabia	~>27.4	~>37.7	Isa 21:11	
Dung Gate	Jerusalem	<31.777444	<35.234935	Neh 2:13, Neh 3:13, Neh 3:14, Neh 12:31	KMZ:Dung Gate
Dura	Babel	~32.53650368616845	~44.42088287373876	Dan 3:1	
East	Ammon	~31.95018855468469	~35.92413135872749	Judg 6:3, Judg 6:33, Judg 7:12, Judg 8:10, Ezek 25:4, Ezek 25:10	
East Gate	Jerusalem	<31.777444	<35.234935	Neh 3:29	
Ebenezer	Mizpah 3	~31.83273947023218	~35.1801628605877	1 Sam 4:1, 1 Sam 5:1, 1 Sam 7:12	
Ebez		32.261621	35.328129	Josh 19:20	now Al-Bathan
Ebron	Abdon	33.047808	35.146201	Josh 19:28	
Ecbatana		34.798311	48.514966	Ezra 6:2	
Eden		-		Gen 2:8, Gen 2:10, Gen 2:15, Gen 3:23, Gen 3:24, Gen 4:16, 2 Kgs 19:12, Isa 37:12, Isa 51:3, Ezek 27:23, Ezek 28:13, Ezek 31:9, Ezek 31:16, Ezek 31:18, Ezek 36:35, Joel 2:3	
Eder 1	Bethlehem 1	<31.70536129174666	<35.21026630105202	Gen 35:21	
Eder 2	Adadah	~31.1858	~34.96745	Josh 15:21	
Edom	Bozrah 1	>30.734691	>35.606250	Gen 32:3, Gen 36:16, Gen 36:17, Gen 36:21, Gen 36:31, Gen 36:32, Gen 36:43, Ex 15:15, Num 20:14, Num 20:18, Num 20:20, Num 20:21, Num 20:23, Num 21:4, Num 24:18, Num 33:37, Num 34:3, Josh 15:1, Josh 15:21, Judg 5:4, Judg 11:17, Judg 11:18, 1 Sam 14:47, 2 Sam 8:12, 2 Sam 8:14, 1 Kgs 9:26, 1 Kgs 11:14, 1 Kgs 11:15, 1 Kgs 11:16, 1 Kgs 22:47, 2 Kgs 3:8, 2 Kgs 3:9, 2 Kgs 3:12, 2 Kgs 3:20, 2 Kgs 3:26, 2 Kgs 8:20, 2 Kgs 8:22, 2 Kgs 14:10, 1 Chr 1:43, 1 Chr 1:51, 1 Chr 1:54, 1 Chr 18:11, 1 Chr 18:13, 2 Chr 8:17, 2 Chr 20:2, 2 Chr 21:8, 2 Chr 21:10, 2 Chr 25:19, 2 Chr 25:20, Ps 60:1, Ps 60:8, Ps 60:9, Ps 83:6, Ps 108:9, Ps 108:10, Isa 11:14, Isa 34:5, Isa 34:6, Isa 34:9, Isa 63:1, Jer 9:26, Jer 25:21, Jer 27:3, Jer 40:11, Jer 49:7, Jer 49:17, Jer 49:20, Jer 49:22, Lam 4:21, Lam 4:22, Ezek 25:12, Ezek 25:13, Ezek 25:14, Ezek 32:29, Ezek 35:15, Ezek 36:5, Dan 11:41, Joel 3:19, Amos 1:6, Amos 1:9, Amos 1:11, Amos 2:1, Amos 9:12, Obad 1:1, Obad 1:8, Mal 1:4	
Edrei		32.62413707696097	36.09899663593119	Num 21:33, Deut 1:4, Deut 3:1, Deut 3:10, Josh 12:4, Josh 13:12, Josh 13:31, Josh 19:37	
Eglaim	Eneglaim	~30.998062	~35.498547	Isa 15:8	
Eglath-shelishiyah		?		Isa 15:5, Jer 48:34	
Eglon		31.5	34.7667	Josh 10:3, Josh 10:5, Josh 10:23, Josh 10:34, Josh 10:36, Josh 10:37, Josh 12:12, Josh 15:39	
