id,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
178,3.14.2,先……再/又……然后……,,xiān…… zài/ yòu…… ránhòu…… ,"First, then, then, …",,我先坐了公共汽车，又坐了地铁，然后才到小刚家。,"I first took the bus, then took the subway, and then went to Xiaogang's house.",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785210
179,3.15.1,除了 N 以外,,chúle N yǐwài ,except N,,除了这个汉字以外，别的我都认识。,"Except for this Chinese character, I know everything else.",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785159
180,3.15.1,除了……(以外)，还……,,chúle……( yǐwài)， hái…… ,"not only…, but also…",,上网除了看新闻(以外)，还可以听音乐。,"In addition to watching the news, you can listen to music too.",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785159
181,3.15.2,什么,,shénme ,any,,周末你有什么打算吗?,Do you have any plans for the weekend?,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785163
182,3.15.3,A 极了,,A jíle ,extremely A,,今天天气冷极了。,The weather is extremely cold today.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785164
183,3.16.1,"如果……(的话), 就……",,"rúguǒ……( dehuà), jiù…… ","if …, then…",,如果你太累的话，就休息一会儿。,"If you are too tired, take a break.",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785196
184,3.16.2,A + 得 + CLAUSE,,A + dé + CLAUSE ,so A that + CLAUSE,,儿子累得下了班就睡觉了。,The son was so tired that he went to sleep as soon as he got off work.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785200
185,3.16.3,A + A + 的,,A + A + de ,A (with characteristics),,她鼻子小小的，头发黑黑的。,Her nose is teeny tiny and her hair is black.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785201
186,3.17.1,V + V,,V + V ,V for a bit,,我带你去医院检查检查吧。,Let me take you to the hospital for to check up a bit.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785327
187,3.17.2,Q + 都,,Q + dōu ,Q-ever,,小刚什么都喜欢吃。,Xiao Gang likes to eat anything (lit. whatever).,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785331
188,3.18.1,只要……就……,,zhǐyào…… jiù…… ,as long as,,只要我有时间，就一定跟你去旅游。,"As long as I have time, I will definitely travel with you.",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785169
189,3.18.2,关于,,guānyú ,about,,关于这件事，我们还没有决定呢。,We have not decided on this matter yet.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785173
190,3.19.1,V + 出来,,V + chūlái ,V and produce an outcome,,这个字你能写出来吗?,Can you write (out) this word?,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785178
191,3.19.1,V + 出来,,V + chūlái ,V and recognize,,你听出来了吗？这是谁的声音？,"After listening, did you recognize [it]? Whose voice is this?",https://chinesezerotohero.teachable.com/courses/183827/lectures/2785178
192,3.19.1,V + 下来,,V + xiàlai ,V down,,我真希望时间能慢下来。,I really hope that time can slow down.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785178
193,3.19.1,想起来,,xiǎngqilai ,to recall,,我想不起来他的名字了。,I can't think of (lit. think up) his name.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785178
194,3.19.1,看起来/看上去,,kànqǐlái/ kànshangqu ,to seem,,他看上去/看起来像40多岁。,He looks like he is in his 40s.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785178
195,3.19.2,使/叫/让 + O + A/V,,shǐ/ jiào/ ràng + O + A/V ,make O A/V,,读书使/叫/让我快乐。,Reading makes me happy.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785182
196,3.20.1,O + 被/叫/让 + S + V,,O + bèi/ jiào/ ràng + S + V ,O is V’ed by S,,我的照相机被/叫/让谁拿走了?,My camera was taken by who?,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785187
197,3.20.1,O + 不/没 + 被/叫/让 + S + V,,O + bù/ méi + bèi/ jiào/ ràng + S + V ,O is not V’ed by S,,问题还没有被解决呢。,The problem has not been solved yet.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785187
198,3.20.2,只有……才……,,zhǐyǒu…… cái…… ,only if,,只有写完作业，才能看电视。,You can watch TV only if you finish your homework.,https://chinesezerotohero.teachable.com/courses/183827/lectures/2785191
199,4.01.1,不仅……也/还/而且……,,bùjǐn…… yě/ hái/ érqiě…… ,Not only… but also…,,我不仅看过《泰坦尼克号》，也看过《诺丁山》。,"I have not only seen Titanic, but also Notting Hill.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332370
200,4.01.1,不仅 S1……，S2 也……,,bùjǐn S1……，S2 yě……,"Not only S1…, S2 also…",,不仅马克看过《诺丁山》，我也看过《诺丁山》。,"Not only did Mark see Notting Hill, I also saw Notting Hill.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332370
201,4.01.2,从来不 V,,cóngláibù V ,never V,,我中午从来不睡觉。,I never sleep at noon.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332374
202,4.01.2,从来没 V/A 过,,cóngláiméi V/A guò ,"never have V’ed, never have been A",,他爸爸妈妈从来没这么高兴过。,His father and mother have never been so happy.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332374
203,4.01.3,刚/刚刚 V,,gāng/ gānggang V ,just V’ed,,我上个月刚结婚。,I just got married last month.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
204,4.01.3,刚 + V + DURATION,,gāng + V + DURATION ,have V’ed for just DURATION,,他刚来一个月。,He’s been [lit. come] here for just a month.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
205,4.01.3,刚才,,gāngcái ,moments ago,,刚才我收到了一封电子邮件。,I just received an email.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
206,4.01.4,即使……也……,,jíshǐ…… yě…… ,"even if…, still…",,即使冬天很冷，他也每天去操场跑步。,"Even if it’s very cold in winter, he still goes to the playground to job every day.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332387
207,4.01.5,(在) N 上,,( zài) N shàng ,with regard to N,,在爱好上，我更像我妈妈。,"In terms of hobbies, I am more like my mother.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332388
208,4.02.1,正好,,zhènghǎo ,just right,,衣服大小正好。,The clothes are just the right size.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4421985
209,4.02.1,V 得正好,,V dé zhènghǎo ,V’ed at just the right time,,你来得正好。,You came at just the right time.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4421985
210,4.02.2,N & N 差不多,,N & N chàbuduō ,N & N are about the same,,这辆车的颜色和那辆车的颜色差不多。,The color of this car is similar to the color of that car.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
211,4.02.2,差不多 #,,chàbuduō # ,about #,,这台电脑差不多5000块。,"This computer is about 5,000 yuan.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
212,4.02.2,差不多 A,,chàbuduō A ,about A,,女儿个子跟我差不多一样高。,My daughter is about as tall as me.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
213,4.02.2,差不多 V,,chàbuduō V ,about V’ed,,工作差不多干完了。,Work is about finished.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
214,4.02.2,几乎 #,,jīhū # ,almost #,,这台电脑几乎5000块。,"This computer is almost 5,000 yuan.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
215,4.02.2,几乎 A,,jīhū A ,almost,,得失几乎相当。,The loss and the gain are almost the same.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
216,4.02.2,几乎 V,,jīhū V ,almost,,这件事我几乎忘了告诉你了。,I almost forgot to tell you about this.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
217,4.02.3,尽管,,jǐnguǎn ,although,,尽管今天很冷，可是他穿的衣服很少。,"Although it is very cold today, he wears very little clothes.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422084
218,4.02.4,(虽然/尽管) …… 却,,( suīrán/ jǐnguǎn) …… què ,(although)… but,,(虽然/尽管) 工作很忙，她们却每天坚持锻炼。,"(Although) they are busy at work, but they insist on exercising every day.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422102
219,4.02.5,而,,ér ,and/but,,听、说能力很重要，而写汉字的能力也重要。,"Listening and speaking abilities are very important, and (on the other hand) the ability to write Chinese characters is also important.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422160
220,4.03.1,挺 A 的,,tǐng A de ,quite A,,我挺喜欢这个地方的。,I quite like this place.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422169
221,4.03.2,本来 V/A,,běnlái V/A ,originally V/A,,她本来想学新闻，但是现在学习法律。,"She originally wanted to learn the news, but now she is studying law.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422183
222,4.03.2,本来就 V/A,,běnlái jiù V/A ,V/A in the first place,,学生本来就不应该上课迟到。,Students should not be late for class in the first place.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422183
223,4.03.3,另/另外/另外的 + # + N,,lìng/ lìngwài/ lìngwài de + # + N ,another # N,,他拿出另/另外/另外的一本书。,He took out another book.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
224,4.03.3,另外的/其他的/别的 N,,lìngwài de/ qítā de/ biéde N ,other N,,不要看这本书，请看另外的/其他的/别的书。,"Don't read this book, please read other books.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
225,4.03.3,另/另外 V,,lìng/ lìngwài V ,V another,,他另/另外给了我三十元。,He gave me another 30 yuan.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
226,4.03.3,另外，……,,lìngwài，…… ,"In addition, …",,多吃水果。另外，还要记得多喝水。,"Eat more fruits. Also, remember to drink more water.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
227,4.03.4,首先……其次……,,shǒuxiān…… qícì…… ,First… second…,,应聘时，首先要穿正式的衣服，其次不要紧张。,"At the job interview, first [you] should wear formal clothing, and second don't be nervous.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422195
228,4.03.5,不管,,bùguǎn ,no matter,,不管什么电影，我都喜欢看。,"I like to watch all kinds of movies. (Lit. No matter what movie, I like to watch them all.)",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423053
229,4.04.1,以为,,yǐwéi ,to believe falsely,,我以为东西是给我的，其实是给爸爸的。,"I thought the thing was for me, but actually it was for my father.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423130
